#Creator: pendulumEventBuffer
#Creation time: Thu Mar 20 14:45:03 2025
#Time	Period	Transit time
#[s]	[s]	[s]
2.273734	2.161545	0.019892
3.354467	2.161442	0.019950
4.435176	2.161367	0.020004
5.515834	2.161266	0.020064
6.596442	2.161223	0.020124
7.677057	2.161181	0.020182
8.757623	2.161094	0.020238
9.838151	2.161033	0.020294
10.918656	2.160988	0.020352
11.999139	2.160934	0.020410
13.079590	2.160858	0.020464
14.159997	2.160791	0.020518
15.240381	2.160741	0.020582
16.320738	2.160672	0.020644
17.401053	2.160606	0.020698
18.481344	2.160573	0.020756
19.561626	2.160529	0.020816
20.641873	2.160465	0.020882
21.722091	2.160402	0.020942
22.802275	2.160346	0.020986
23.882437	2.160289	0.021046
24.962564	2.160233	0.021116
26.042670	2.160179	0.021176
27.122743	2.160128	0.021234
28.202798	2.160069	0.021292
29.282812	2.160008	0.021352
30.362806	2.159954	0.021412
31.442766	2.159893	0.021472
32.522699	2.159826	0.021534
33.602592	2.159786	0.021596
34.682485	2.159741	0.021658
35.762333	2.159669	0.021722
36.842154	2.159625	0.021784
37.921958	2.159580	0.021844
39.001734	2.159521	0.021908
40.081479	2.159470	0.021974
41.161204	2.159414	0.022036
42.240893	2.159355	0.022098
43.320559	2.159311	0.022162
44.400204	2.159259	0.022228
45.479818	2.159200	0.022292
46.559404	2.159150	0.022356
47.638968	2.159097	0.022420
48.718501	2.159049	0.022486
49.798017	2.159017	0.022550
50.877518	2.158944	0.022612
51.956961	2.158890	0.022678
53.036408	2.158854	0.022748
54.115815	2.158790	0.022814
55.195198	2.158742	0.022880
56.274557	2.158686	0.022946
57.353884	2.158639	0.023012
58.433196	2.158588	0.023080
59.512472	2.158538	0.023148
60.591734	2.158486	0.023216
61.670958	2.158433	0.023284
62.750167	2.158388	0.023354
63.829346	2.158330	0.023420
64.908497	2.158276	0.023490
65.987622	2.158235	0.023560
67.066732	2.158190	0.023628
68.145812	2.158144	0.023696
69.224876	2.158088	0.023768
70.303900	2.158030	0.023840
71.382906	2.157980	0.023908
72.461880	2.157917	0.023980
73.540823	2.157858	0.024050
74.619738	2.157809	0.024124
75.698632	2.157752	0.024196
76.777490	2.157700	0.024268
77.856332	2.157675	0.024344
78.935165	2.157650	0.024414
80.013982	2.157595	0.024488
