#Creator: pendulumEventBuffer
#Creation time: Thu Mar 20 14:45:03 2025
#Time	Period	Transit time
#[s]	[s]	[s]
228.295874	2.149781	0.050540
229.370770	2.149788	0.050656
230.445662	2.149771	0.050772
231.520541	2.149752	0.050886
232.595414	2.149748	0.050996
233.670289	2.149738	0.051106
234.745152	2.149732	0.051224
235.820021	2.149732	0.051338
236.894884	2.149704	0.051452
237.969725	2.149716	0.051566
239.044600	2.149687	0.051680
240.119412	2.149691	0.051796
241.194291	2.149720	0.051906
242.269132	2.149678	0.052024
243.343969	2.149689	0.052142
244.418821	2.149679	0.052254
245.493648	2.149651	0.052376
246.568472	2.149653	0.052496
247.643301	2.149646	0.052610
248.718118	2.149643	0.052724
249.792944	2.149637	0.052844
250.867755	2.149622	0.052966
251.942566	2.149608	0.053088
253.017363	2.149602	0.053214
254.092168	2.149595	0.053332
255.166958	2.149584	0.053448
256.241752	2.149579	0.053568
257.316537	2.149559	0.053690
258.391311	2.149583	0.053814
259.466120	2.149551	0.053936
260.540862	2.149522	0.054060
261.615642	2.149540	0.054188
262.690402	2.149536	0.054304
263.765178	2.149546	0.054428
264.839948	2.149522	0.054556
265.914700	2.149505	0.054672
266.989453	2.149526	0.054798
268.064226	2.149528	0.054924
269.138981	2.149506	0.055046
270.213732	2.149501	0.055172
271.288482	2.149482	0.055300
272.363214	2.149489	0.055436
273.437971	2.149487	0.055562
274.512701	2.149449	0.055678
275.587420	2.149434	0.055808
276.662135	2.149440	0.055934
277.736860	2.149450	0.056064
278.811585	2.149446	0.056194
279.886306	2.149435	0.056320
280.961020	2.149427	0.056452
282.035733	2.149424	0.056578
283.110444	2.149423	0.056704
284.185156	2.149399	0.056836
285.259843	2.149420	0.056966
286.334576	2.149424	0.057100
287.409267	2.149381	0.057234
288.483957	2.149376	0.057362
289.558643	2.149371	0.057494
290.633328	2.149365	0.057632
291.708008	2.149369	0.057768
292.782697	2.149369	0.057902
293.857377	2.149361	0.058034
294.932058	2.149362	0.058168
296.006739	2.149353	0.058310
297.081411	2.149342	0.058442
298.156081	2.149342	0.058570
299.230753	2.149340	0.058710
300.305421	2.149334	0.058850
301.380087	2.149308	0.058978
302.454729	2.149305	0.059114
303.529392	2.149316	0.059260
304.604045	2.149311	0.059394
305.678703	2.149306	0.059534
306.753351	2.149299	0.059674
307.828002	2.149296	0.059808
308.902647	2.149292	0.059950
309.977294	2.149294	0.060100
311.051941	2.149266	0.060242
312.126560	2.149226	0.060376
313.201167	2.149235	0.060518
314.275795	2.149266	0.060666
315.350433	2.149267	0.060814
316.425062	2.149261	0.060956
317.499694	2.149243	0.061096
318.574305	2.149232	0.061238
319.648926	2.149246	0.061392
320.723551	2.149223	0.061546
321.798149	2.149220	0.061698
322.872771	2.149206	0.061842
323.947355	2.149173	0.061982
325.021944	2.149176	0.062136
326.096531	2.149188	0.062294
327.171132	2.149194	0.062444
328.245725	2.149183	0.062594
329.320315	2.149190	0.062746
330.394915	2.149162	0.062894
331.469477	2.149175	0.063046
332.544090	2.149192	0.063208
333.618669	2.149158	0.063362
334.693248	2.149162	0.063508
335.767831	2.149151	0.063670
336.842399	2.149155	0.063834
337.916986	2.149145	0.063984
338.991544	2.149116	0.064140
340.066102	2.149122	0.064296
341.140666	2.149129	0.064452
342.215231	2.149118	0.064622
343.289784	2.149107	0.064788
344.364338	2.149099	0.064944
345.438883	2.149100	0.065106
346.513438	2.149086	0.065276
347.587969	2.149072	0.065442
348.662510	2.149046	0.065600
349.737015	2.149040	0.065762
350.811550	2.149057	0.065928
351.886072	2.149027	0.066088
352.960577	2.149062	0.066250
354.035134	2.149052	0.066416
355.109629	2.148997	0.066586
356.184131	2.148963	0.066750
357.258592	2.148894	0.066920
358.333025	2.148829	0.067086
359.407421	2.148802	0.067238
360.481827	2.148794	0.067390
361.556215	2.148774	0.067550
362.630601	2.148762	0.067722
363.704977	2.148760	0.067882
364.779361	2.148752	0.068034
365.853729	2.148773	0.068198
366.928134	2.148830	0.068360
368.002559	2.148777	0.068518
369.076911	2.148719	0.068682
370.151278	2.148738	0.068856
371.225649	2.148726	0.069022
372.300004	2.148712	0.069188
373.374361	2.148728	0.069358
374.448732	2.148728	0.069520
375.523089	2.148704	0.069690
376.597436	2.148704	0.069864
377.671793	2.148715	0.070034
378.746151	2.148718	0.070206
379.820511	2.148705	0.070374
380.894856	2.148654	0.070548
381.969165	2.148708	0.070726
383.043564	2.148689	0.070892
384.117854	2.148633	0.071056
385.192197	2.148653	0.071226
386.266507	2.148618	0.071406
387.340815	2.148617	0.071586
388.415124	2.148619	0.071756
389.489434	2.148611	0.071924
390.563735	2.148624	0.072098
391.638058	2.148640	0.072276
392.712375	2.148627	0.072450
393.786685	2.148613	0.072622
394.860988	2.148584	0.072800
395.935269	2.148601	0.072978
397.009589	2.148630	0.073146
398.083899	2.148588	0.073326
399.158177	2.148558	0.073514
400.232457	2.148565	0.073694
401.306742	2.148588	0.073880
402.381045	2.148589	0.074066
403.455331	2.148581	0.074246
404.529626	2.148574	0.074428
405.603905	2.148552	0.074614
406.678178	2.148598	0.074792
407.752503	2.148609	0.074978
408.826787	2.148538	0.075166
409.901041	2.148574	0.075350
410.975361	2.148726	0.075542
412.049767	2.148501	0.075726
413.123862	2.148363	0.075916
414.198130	2.148564	0.076104
415.272426	2.148556	0.076300
416.346686	2.148514	0.076504
417.420940	2.148497	0.076688
418.495183	2.148507	0.076890
419.569447	2.148514	0.077094
420.643697	2.148497	0.077286
421.717944	2.148490	0.077480
422.792187	2.148513	0.077678
423.866457	2.148566	0.077874
424.940753	2.148464	0.078078
426.014921	2.148404	0.078294
427.089157	2.148486	0.078494
428.163407	2.148477	0.078674
429.237634	2.148461	0.078872
430.311868	2.148457	0.079096
431.386091	2.148450	0.079310
432.460318	2.148459	0.079504
433.534550	2.148462	0.079704
434.608780	2.148469	0.079916
435.683019	2.148476	0.080126
436.757256	2.148438	0.080332
437.831457	2.148420	0.080546
438.905676	2.148438	0.080764
439.979895	2.148451	0.080962
441.054127	2.148531	0.081150
442.128426	2.148423	0.081372
443.202550	2.148335	0.081608
444.276761	2.148424	0.081826
445.350974	2.148389	0.082040
446.425150	2.148366	0.082260
447.499340	2.148377	0.082480
448.573527	2.148376	0.082686
449.647716	2.148373	0.082912
450.721900	2.148348	0.083136
451.796064	2.148331	0.083336
452.870231	2.148409	0.083554
453.944473	2.148364	0.083790
455.018595	2.148286	0.084022
456.092759	2.148337	0.084238
457.166932	2.148332	0.084460
458.241091	2.148318	0.084686
459.315250	2.148340	0.084908
460.389431	2.148324	0.085146
461.463574	2.148254	0.085380
462.537685	2.148248	0.085602
463.611822	2.148269	0.085828
464.685954	2.148271	0.086056
465.760093	2.148267	0.086282
466.834221	2.148251	0.086514
467.908344	2.148248	0.086740
468.982469	2.148265	0.086966
470.056609	2.148234	0.087202
471.130703	2.148211	0.087438
472.204820	2.148269	0.087664
473.278972	2.148241	0.087912
474.353061	2.148251	0.088166
475.427223	2.148191	0.088398
476.501252	2.148161	0.088624
477.575384	2.148236	0.088872
478.649488	2.148187	0.089112
479.723571	2.148199	0.089342
480.797687	2.148220	0.089598
481.871791	2.148174	0.089842
482.945861	2.148156	0.090082
484.019947	2.148165	0.090322
485.094026	2.148169	0.090568
486.168116	2.148171	0.090824
