#Creator: pendulumEventBuffer
#Creation time: Thu Mar 20 14:45:03 2025
#Time	Period	Transit time
#[s]	[s]	[s]
227.648754	2.151028	0.043060
228.724255	2.150999	0.043166
229.799753	2.150959	0.043274
230.875214	2.150929	0.043380
231.950682	2.150932	0.043484
233.026146	2.150899	0.043588
234.101581	2.150870	0.043698
235.177016	2.150832	0.043804
236.252413	2.150814	0.043906
237.327830	2.150799	0.044012
238.403212	2.150758	0.044124
239.478588	2.150756	0.044236
240.553968	2.150740	0.044340
241.629328	2.150718	0.044448
242.704686	2.150720	0.044556
243.780048	2.150689	0.044656
244.855375	2.150663	0.044762
245.930711	2.150667	0.044874
247.006042	2.150658	0.044984
248.081369	2.150651	0.045090
249.156693	2.150662	0.045198
250.232031	2.150602	0.045310
251.307295	2.150560	0.045426
252.382591	2.150597	0.045534
253.457892	2.150538	0.045648
254.533129	2.150523	0.045766
255.608415	2.150544	0.045870
256.683673	2.150512	0.045974
257.758927	2.150490	0.046078
258.834163	2.150466	0.046190
259.909393	2.150343	0.046310
260.984506	2.150196	0.046408
262.059589	2.150202	0.046506
263.134708	2.150203	0.046612
264.209792	2.150183	0.046720
265.284891	2.150187	0.046822
266.359979	2.150159	0.046922
267.435050	2.150139	0.047028
268.510118	2.150124	0.047132
269.585174	2.150121	0.047240
270.660239	2.150109	0.047346
271.735283	2.150093	0.047450
272.810332	2.150080	0.047552
273.885363	2.150096	0.047654
274.960428	2.150100	0.047764
276.035463	2.150031	0.047866
277.110459	2.149996	0.047970
278.185459	2.149967	0.048074
279.260426	2.149951	0.048180
280.335410	2.149991	0.048288
281.410417	2.149999	0.048390
282.485409	2.149960	0.048498
283.560377	2.149936	0.048602
284.635345	2.149947	0.048702
285.710324	2.149947	0.048804
286.785292	2.149930	0.048912
287.860254	2.149917	0.049024
288.935209	2.149899	0.049130
290.010153	2.149887	0.049238
291.085096	2.149887	0.049356
292.160040	2.149890	0.049464
293.234986	2.149874	0.049564
294.309914	2.149857	0.049672
