#Creator: pendulumEventBuffer
#Creation time: Thu Mar 20 14:45:03 2025
#Time	Period	Transit time
#[s]	[s]	[s]
231.334903	2.152046	0.039134
232.410918	2.152013	0.039236
233.486916	2.151986	0.039344
234.562904	2.151966	0.039448
235.638882	2.151952	0.039552
236.714856	2.151924	0.039660
237.790806	2.151886	0.039768
238.866742	2.151845	0.039872
239.942651	2.151813	0.039970
241.018555	2.151786	0.040078
242.094437	2.151746	0.040186
243.170301	2.151715	0.040290
244.246152	2.151696	0.040392
245.321997	2.151679	0.040494
246.397831	2.151638	0.040598
247.473635	2.151633	0.040706
248.549464	2.151612	0.040812
249.625247	2.151581	0.040918
250.701045	2.151588	0.041022
251.776835	2.151569	0.041126
252.852614	2.151544	0.041236
253.928379	2.151532	0.041342
255.004146	2.151514	0.041444
256.079893	2.151491	0.041550
257.155637	2.151472	0.041662
258.231365	2.151435	0.041770
259.307072	2.151428	0.041872
260.382793	2.151421	0.041974
261.458493	2.151362	0.042086
262.534155	2.151353	0.042194
263.609846	2.151388	0.042304
264.685543	2.151367	0.042418
265.761213	2.151333	0.042534
266.836876	2.151316	0.042648
267.912529	2.151285	0.042758
268.988161	2.151265	0.042870
270.063794	2.151247	0.042980
271.139408	2.151227	0.043096
272.215021	2.151204	0.043214
273.290612	2.151184	0.043328
274.366205	2.151101	0.043442
275.441713	2.151024	0.043550
276.517229	2.151024	0.043662
277.592737	2.150998	0.043770
278.668227	2.150984	0.043874
279.743721	2.150987	0.043986
280.819214	2.150938	0.044100
281.894659	2.150891	0.044210
282.970105	2.150923	0.044318
284.045582	2.150925	0.044432
285.121030	2.150865	0.044544
286.196447	2.150855	0.044658
287.271885	2.150871	0.044774
288.347318	2.150881	0.044884
289.422766	2.150864	0.045000
290.498182	2.150800	0.045116
291.573566	2.150784	0.045228
292.648966	2.150803	0.045344
293.724369	2.150786	0.045454
294.799752	2.150764	0.045564
295.875133	2.150766	0.045686
296.950518	2.150705	0.045804
298.025838	2.150654	0.045912
299.101172	2.150666	0.046028
300.176504	2.150618	0.046140
301.251790	2.150571	0.046252
302.327075	2.150587	0.046374
303.402377	2.150604	0.046490
304.477679	2.150594	0.046598
305.552971	2.150579	0.046714
306.628258	2.150573	0.046832
307.703544	2.150555	0.046944
308.778813	2.150528	0.047058
309.854072	2.150531	0.047180
310.929344	2.150530	0.047308
312.004602	2.150503	0.047436
313.079847	2.150456	0.047554
314.155058	2.150433	0.047676
315.230280	2.150428	0.047800
316.305486	2.150415	0.047916
317.380695	2.150387	0.048034
318.455873	2.150357	0.048158
319.531052	2.150368	0.048292
320.606241	2.150349	0.048414
321.681401	2.150191	0.048530
322.756432	2.150044	0.048636
323.831445	2.150000	0.048746
324.906432	2.149983	0.048860
325.981428	2.149989	0.048968
327.056421	2.149968	0.049074
328.131396	2.149954	0.049184
329.206375	2.149961	0.049294
330.281357	2.149947	0.049402
331.356322	2.149950	0.049516
332.431307	2.149957	0.049626
333.506279	2.149944	0.049734
334.581251	2.149930	0.049846
335.656209	2.149919	0.049958
336.731170	2.149905	0.050072
337.806114	2.149896	0.050180
338.881066	2.149887	0.050288
339.956001	2.149879	0.050402
341.030945	2.149869	0.050514
342.105870	2.149859	0.050632
343.180804	2.149853	0.050748
344.255723	2.149857	0.050862
345.330661	2.149816	0.050978
346.405539	2.149805	0.051086
347.480466	2.149839	0.051196
348.555378	2.149795	0.051320
349.630261	2.149803	0.051438
350.705181	2.149814	0.051550
351.780075	2.149782	0.051666
352.854963	2.149779	0.051782
353.929854	2.149775	0.051896
355.004738	2.149775	0.052012
356.079629	2.149757	0.052130
357.154495	2.149752	0.052246
358.229381	2.149752	0.052366
359.304247	2.149745	0.052490
360.379126	2.149745	0.052608
361.453992	2.149711	0.052732
362.528837	2.149680	0.052854
363.603672	2.149693	0.052968
364.678530	2.149683	0.053088
365.753355	2.149686	0.053194
366.828216	2.149694	0.053316
367.903049	2.149663	0.053454
368.977879	2.149667	0.053582
370.052716	2.149658	0.053696
371.127537	2.149641	0.053810
372.202357	2.149646	0.053938
373.277183	2.149636	0.054058
374.351993	2.149623	0.054174
375.426806	2.149587	0.054292
376.501580	2.149580	0.054416
377.576386	2.149607	0.054548
378.651187	2.149589	0.054674
379.725975	2.149575	0.054786
380.800762	2.149569	0.054912
381.875544	2.149541	0.055052
382.950303	2.149540	0.055178
384.025084	2.149561	0.055300
385.099864	2.149571	0.055432
386.174655	2.149555	0.055558
387.249419	2.149530	0.055678
388.324185	2.149528	0.055810
389.398947	2.149528	0.055942
390.473713	2.149519	0.056070
391.548466	2.149517	0.056196
392.623230	2.149504	0.056328
393.697970	2.149481	0.056460
394.772711	2.149505	0.056586
395.847475	2.149511	0.056714
396.922222	2.149491	0.056844
397.996966	2.149482	0.056980
399.071704	2.149485	0.057112
400.146451	2.149482	0.057242
401.221186	2.149458	0.057380
402.295909	2.149452	0.057510
403.370638	2.149439	0.057640
404.445348	2.149438	0.057776
405.520076	2.149436	0.057908
