#Creator: pendulumEventBuffer
#Creation time: Thu Mar 20 14:45:03 2025
#Time	Period	Transit time
#[s]	[s]	[s]
229.935328	2.154505	0.031836
231.012584	2.154476	0.031944
232.089804	2.154450	0.032052
233.167034	2.154428	0.032160
234.244232	2.154388	0.032268
235.321422	2.154367	0.032380
236.398599	2.154323	0.032486
237.475745	2.154298	0.032598
238.552897	2.154256	0.032714
239.630001	2.154206	0.032830
240.707103	2.154210	0.032938
241.784211	2.154176	0.033050
242.861279	2.154124	0.033174
243.938335	2.154102	0.033290
245.015381	2.154086	0.033402
246.092421	2.154050	0.033518
247.169431	2.154026	0.033642
248.246447	2.154021	0.033758
249.323452	2.153960	0.033876
250.400407	2.153928	0.033990
251.477380	2.153909	0.034108
252.554316	2.153858	0.034228
253.631238	2.153799	0.034348
254.708115	2.153717	0.034470
255.784955	2.153650	0.034594
256.861765	2.153619	0.034714
257.938574	2.153615	0.034828
259.015380	2.153597	0.034952
260.092171	2.153535	0.035082
261.168915	2.153515	0.035194
262.245686	2.153551	0.035312
263.322466	2.153495	0.035448
264.399181	2.153444	0.035578
265.475910	2.153414	0.035704
266.552595	2.153378	0.035830
267.629288	2.153383	0.035956
268.705978	2.153366	0.036092
269.782654	2.153311	0.036228
270.859289	2.153273	0.036358
271.935927	2.153252	0.036490
273.012541	2.153243	0.036626
274.089170	2.153177	0.036756
275.165718	2.153151	0.036888
276.242321	2.153125	0.037026
277.318843	2.153098	0.037162
278.395419	2.153037	0.037302
279.471880	2.152923	0.037444
280.548342	2.152901	0.037576
281.624781	2.152873	0.037714
282.701215	2.152824	0.037854
283.777605	2.152781	0.037990
284.853996	2.152713	0.038132
285.930318	2.152651	0.038272
287.006647	2.152602	0.038410
288.082920	2.152565	0.038548
289.159212	2.152345	0.038680
290.235265	2.152124	0.038786
291.311336	2.152135	0.038916
292.387400	2.152101	0.039032
293.463437	2.152070	0.039130
294.539470	2.152035	0.039236
295.615472	2.152009	0.039344
296.691479	2.151989	0.039446
297.767461	2.151964	0.039550
298.843443	2.151943	0.039662
299.919404	2.151904	0.039768
300.995347	2.151876	0.039866
302.071280	2.151803	0.039972
303.147150	2.151760	0.040068
304.223040	2.151742	0.040160
305.298892	2.151670	0.040272
306.374710	2.151747	0.040372
