#Creator: pendulumEventBuffer
#Creation time: Thu Mar 20 14:45:03 2025
#Time	Period	Transit time
#[s]	[s]	[s]
227.406600	2.148985	0.066076
228.481089	2.148962	0.066246
229.555562	2.148861	0.066416
230.629950	2.148756	0.066560
231.704318	2.148725	0.066712
232.778675	2.148715	0.066874
233.853033	2.148737	0.067030
234.927412	2.148745	0.067192
236.001778	2.148725	0.067352
237.076137	2.148698	0.067506
238.150476	2.148707	0.067664
239.224844	2.148723	0.067828
240.299199	2.148710	0.067982
241.373554	2.148694	0.068136
242.447893	2.148691	0.068302
243.522245	2.148674	0.068462
244.596567	2.148677	0.068618
245.670922	2.148703	0.068780
246.745270	2.148703	0.068948
247.819625	2.148678	0.069114
248.893948	2.148670	0.069268
249.968295	2.148673	0.069434
251.042621	2.148670	0.069602
252.116965	2.148672	0.069770
253.191293	2.148637	0.069950
254.265602	2.148638	0.070112
255.339931	2.148656	0.070270
256.414258	2.148654	0.070448
257.488585	2.148651	0.070626
258.562909	2.148628	0.070794
259.637213	2.148638	0.070966
260.711547	2.148632	0.071146
261.785845	2.148611	0.071314
262.860158	2.148628	0.071472
263.934473	2.148632	0.071642
265.008790	2.148605	0.071824
266.083078	2.148605	0.072004
267.157395	2.148625	0.072178
268.231703	2.148611	0.072358
269.306006	2.148607	0.072532
270.380310	2.148633	0.072708
271.454639	2.148541	0.072894
272.528851	2.148568	0.073074
273.603207	2.148630	0.073254
274.677481	2.148547	0.073450
275.751754	2.148564	0.073632
276.826045	2.148601	0.073802
277.900355	2.148571	0.073986
278.974616	2.148531	0.074164
280.048886	2.148573	0.074352
281.123189	2.148570	0.074550
282.197456	2.148527	0.074732
283.271716	2.148551	0.074916
284.346007	2.148568	0.075106
285.420284	2.148561	0.075288
286.494568	2.148541	0.075476
287.568825	2.148539	0.075662
288.643107	2.148551	0.075854
289.717376	2.148510	0.076040
290.791617	2.148429	0.076234
291.865805	2.148489	0.076438
292.940106	2.148553	0.076636
294.014358	2.148518	0.076832
295.088624	2.148508	0.077024
