#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	556	0.050	373
0.076	552	0.101	385
0.126	564	0.152	392
0.177	564	0.203	381
0.227	557	0.253	379
0.279	550	0.304	379
0.329	554	0.354	383
0.380	561	0.406	382
0.430	553	0.456	372
0.481	556	0.507	398
0.531	555	0.557	403
0.583	552	0.608	351
0.633	554	0.658	355
0.684	555	0.710	386
0.734	555	0.760	398
0.785	555	0.811	405
0.836	554	0.861	427
0.887	555	0.912	455
0.937	555	0.963	478
0.988	553	1.014	500
1.038	565	1.064	532
1.090	555	1.115	558
1.140	560	1.165	580
1.191	555	1.217	599
1.241	550	1.267	613
1.292	555	1.318	616
1.342	557	1.368	619
1.394	555	1.419	610
1.444	554	1.469	607
1.495	556	1.521	588
1.545	555	1.571	570
1.596	561	1.622	549
1.647	556	1.672	523
1.698	560	1.723	497
1.748	559	1.774	470
1.799	561	1.825	447
1.849	556	1.875	427
1.901	553	1.926	409
1.951	555	1.976	398
2.002	555	2.028	394
2.052	555	2.078	385
2.103	557	2.129	401
2.153	555	2.179	408
2.205	556	2.230	417
2.255	559	2.280	436
2.306	555	2.332	461
2.356	555	2.382	484
2.407	552	2.433	506
2.458	558	2.483	531
2.509	554	2.534	554
2.559	553	2.585	574
2.610	556	2.636	589
2.660	558	2.686	601
2.712	559	2.737	610
2.762	556	2.787	608
2.813	555	2.839	606
2.863	556	2.889	596
2.914	556	2.940	579
2.964	557	2.990	568
3.016	553	3.041	545
3.066	558	3.091	526
3.117	555	3.143	500
3.167	556	3.193	477
3.218	566	3.244	454
3.269	558	3.294	435
3.320	554	3.345	417
3.370	556	3.396	404
3.421	559	3.447	398
3.471	557	3.497	396
3.523	556	3.548	400
3.573	554	3.598	410
3.624	555	3.650	418
3.674	556	3.700	428
3.725	556	3.751	452
3.775	556	3.801	484
3.827	554	3.852	504
3.877	554	3.902	526
3.928	555	3.954	552
3.978	558	4.004	572
4.029	551	4.055	587
4.081	555	4.105	599
4.131	554	4.156	607
4.182	560	4.207	608
4.232	558	4.258	603
4.283	559	4.308	597
4.334	557	4.359	582
4.385	555	4.409	561
4.435	557	4.461	544
4.486	556	4.511	521
4.536	557	4.562	500
4.588	556	4.612	480
4.638	546	4.663	449
4.689	558	4.713	435
4.739	558	4.765	429
4.790	555	4.815	410
4.840	554	4.866	403
4.892	556	4.916	407
4.942	564	4.967	405
4.993	554	5.018	417
5.043	556	5.069	427
5.094	556	5.119	446
5.145	555	5.170	460
5.196	557	5.220	481
5.246	555	5.272	510
5.297	556	5.322	528
5.347	556	5.373	556
5.399	556	5.423	577
5.449	555	5.474	582
5.500	545	5.524	594
5.550	557	5.576	600
5.601	549	5.626	602
5.651	555	5.677	600
5.703	556	5.727	592
5.753	552	5.778	579
5.804	558	5.829	562
5.854	556	5.880	545
5.905	556	5.930	523
5.956	556	5.981	500
6.007	556	6.031	479
6.057	553	6.083	457
6.108	555	6.133	440
6.158	556	6.184	423
6.210	558	6.234	413
6.260	553	6.285	406
6.311	557	6.335	407
6.361	554	6.387	409
6.412	551	6.437	418
6.462	558	6.488	429
6.514	556	6.538	445
6.564	556	6.589	464
6.615	556	6.640	484
6.665	557	6.691	506
6.716	555	6.741	530
6.767	556	6.792	548
6.818	557	6.842	570
6.868	557	6.894	579
6.919	556	6.944	597
6.969	556	6.995	597
7.021	555	7.045	599
7.071	555	7.096	595
7.122	561	7.146	587
7.172	554	7.198	577
7.223	559	7.249	559
7.273	557	7.299	545
7.325	556	7.350	522
7.375	558	7.400	499
7.426	556	7.452	475
7.476	554	7.502	460
7.527	555	7.553	441
7.578	555	7.603	428
7.629	556	7.654	418
7.679	555	7.705	410
7.730	556	7.756	410
7.780	550	7.806	418
7.832	558	7.857	421
7.882	556	7.907	435
7.933	556	7.959	449
7.983	555	8.009	465
8.034	557	8.060	485
8.084	552	8.110	505
8.136	556	8.161	528
8.186	554	8.211	545
8.237	557	8.263	567
8.287	556	8.313	575
8.338	554	8.364	588
8.389	557	8.414	594
8.440	560	8.465	591
8.490	557	8.516	592
8.541	558	8.567	584
8.591	553	8.617	576
8.643	557	8.668	559
8.693	551	8.718	540
8.744	556	8.770	521
8.794	559	8.820	500
8.845	555	8.871	479
8.895	556	8.921	459
8.947	556	8.972	439
8.997	557	9.022	431
9.048	555	9.074	418
9.098	555	9.124	413
9.149	555	9.175	410
9.200	556	9.225	417
9.251	557	9.276	425
9.301	556	9.327	436
9.352	557	9.378	451
9.402	554	9.428	467
9.454	555	9.479	486
9.504	557	9.529	507
9.555	557	9.581	528
9.605	555	9.631	540
9.656	557	9.682	562
9.706	557	9.732	573
9.758	556	9.783	584
9.808	556	9.833	584
9.859	557	9.885	590
9.909	557	9.935	585
9.960	556	9.986	567
10.011	556	10.036	569
10.062	557	10.087	559
10.112	556	10.138	539
10.163	553	10.189	519
10.213	559	10.239	499
10.265	554	10.290	480
10.315	556	10.340	463
10.366	564	10.392	448
10.416	551	10.442	434
10.467	554	10.493	422
10.518	555	10.543	417
