#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.205	444	13.230	612
13.256	460	13.282	621
13.306	481	13.332	628
13.357	509	13.383	632
13.408	531	13.433	637
13.459	560	13.484	632
13.509	585	13.535	623
13.560	609	13.586	623
13.610	629	13.636	615
13.662	642	13.687	610
13.712	651	13.737	597
13.763	655	13.788	591
13.813	653	13.839	578
13.864	643	13.890	569
13.914	629	13.940	560
13.966	613	13.991	553
14.016	587	14.041	548
14.067	565	14.093	542
14.117	539	14.143	543
14.168	508	14.194	545
14.219	483	14.244	550
14.270	456	14.295	555
14.320	445	14.346	563
14.371	428	14.397	569
14.421	420	14.447	572
14.473	418	14.498	590
14.523	422	14.548	591
14.574	434	14.599	599
14.624	450	14.650	605
14.675	475	14.701	611
14.725	493	14.751	613
14.777	522	14.802	613
14.827	550	14.852	605
14.878	576	14.904	614
14.928	602	14.954	612
14.979	622	15.005	608
15.030	641	15.055	603
15.081	651	15.106	597
15.131	656	15.157	592
15.182	657	15.208	584
15.232	650	15.258	578
15.284	635	15.309	574
15.334	616	15.359	569
15.385	591	15.410	566
15.435	571	15.461	563
15.486	544	15.512	567
15.536	517	15.562	563
15.588	488	15.613	570
15.638	466	15.663	560
15.689	445	15.715	568
15.739	431	15.765	570
15.790	421	15.816	576
15.841	415	15.866	581
15.892	425	15.917	583
15.942	427	15.968	587
15.993	439	16.019	591
16.043	461	16.069	593
16.095	486	16.120	598
16.145	507	16.170	597
16.196	538	16.222	599
16.246	569	16.272	599
16.297	595	16.323	598
16.347	614	16.373	593
16.399	634	16.424	595
16.449	648	16.474	594
16.500	656	16.526	593
16.550	659	16.576	588
16.601	654	16.627	584
16.652	636	16.677	587
16.703	626	16.728	582
16.753	605	16.779	584
16.804	582	16.830	580
16.854	552	16.880	582
16.906	528	16.931	577
16.956	500	16.981	579
17.007	476	17.033	577
17.057	448	17.083	577
17.108	436	17.134	585
17.158	422	17.184	578
17.210	418	17.235	578
17.260	418	17.285	572
17.311	425	17.337	578
17.361	436	17.387	579
17.412	460	17.438	579
17.463	479	17.488	583
17.514	506	17.539	580
17.564	532	17.590	581
17.615	552	17.641	583
17.665	583	17.691	583
17.717	608	17.742	585
17.767	628	17.792	586
17.818	649	17.844	589
17.868	653	17.894	589
17.919	656	17.945	586
17.969	659	17.995	591
18.021	645	18.046	595
18.071	632	18.096	595
18.122	615	18.148	595
18.172	589	18.198	595
18.223	562	18.249	595
18.275	542	18.299	597
18.325	509	18.350	593
18.376	480	18.401	591
18.426	465	18.452	593
18.477	444	18.502	588
18.528	430	18.553	580
18.579	423	18.603	581
18.629	420	18.655	576
18.680	424	18.705	575
18.730	434	18.756	570
18.782	449	18.806	569
18.832	468	18.857	563
18.883	493	18.907	567
18.933	521	18.959	564
18.984	538	19.009	567
19.034	576	19.060	569
19.086	593	19.110	576
19.136	619	19.161	577
19.187	636	19.212	579
19.237	649	19.263	580
19.288	653	19.313	585
19.339	654	19.364	593
19.390	646	19.414	598
19.440	635	19.466	606
19.491	618	19.516	607
19.541	598	19.567	608
19.593	574	19.617	611
19.643	548	19.668	609
19.694	519	19.718	607
19.744	495	19.770	602
19.795	469	19.820	600
19.845	452	19.871	596
19.897	437	19.921	589
19.947	430	19.972	580
19.998	425	20.023	575
20.048	426	20.074	571
20.099	436	20.124	566
20.150	440	20.175	563
20.201	464	20.225	555
20.251	488	20.277	553
20.302	510	20.327	551
20.352	538	20.378	555
20.404	559	20.428	554
20.454	588	20.479	558
20.505	606	20.529	568
20.555	624	20.581	571
20.606	639	20.631	580
20.656	647	20.682	583
20.708	649	20.732	594
20.758	644	20.783	601
20.809	626	20.834	614
20.859	621	20.885	616
20.910	601	20.935	621
20.961	581	20.986	625
21.012	555	21.036	624
21.062	521	21.088	623
21.113	501	21.138	619
21.163	483	21.189	614
21.215	467	21.239	609
21.265	451	21.290	601
21.316	437	21.340	590
21.366	433	21.392	576
21.417	430	21.443	572
21.467	433	21.493	566
21.519	447	21.544	551
21.569	461	21.594	546
21.620	484	21.646	541
21.670	503	21.696	536
21.721	527	21.747	539
21.772	553	21.797	543
21.823	576	21.848	547
21.873	603	21.899	552
21.924	608	21.950	557
21.974	628	22.000	572
22.026	640	22.051	582
22.076	643	22.101	595
22.127	641	22.153	603
22.177	633	22.203	617
22.228	621	22.254	625
22.278	605	22.304	630
22.330	585	22.355	633
22.380	563	22.405	636
22.431	539	22.457	635
22.481	520	22.507	633
22.532	495	22.558	626
22.583	475	22.608	618
22.634	461	22.659	607
22.684	447	22.710	596
22.735	437	22.761	580
22.785	436	22.811	570
22.837	443	22.862	569
22.887	450	22.912	549
22.938	461	22.964	538
22.988	475	23.014	532
23.039	498	23.065	527
23.089	521	23.115	524
23.141	543	23.166	527
23.191	569	23.216	531
23.242	585	23.268	540
23.292	604	23.318	550
23.343	616	23.369	561
23.394	629	23.419	572
23.445	634	23.470	588
23.495	633	23.521	604
23.546	629	23.572	613
23.596	620	23.622	622
23.648	606	23.673	648
23.698	589	23.723	644
23.749	568	23.775	648
23.799	549	23.825	648
23.850	528	23.876	645
23.900	505	23.926	639
23.952	491	23.977	631
24.002	476	24.027	619
24.053	455	24.079	606
24.103	450	24.129	592
24.154	443	24.180	573
24.205	447	24.230	563
24.256	452	24.281	540
24.306	462	24.332	530
24.357	476	24.383	519
24.407	494	24.433	519
24.459	514	24.484	514
24.509	536	24.534	515
24.560	553	24.586	518
24.610	571	24.636	526
24.661	593	24.687	536
24.711	603	24.737	549
24.763	611	24.788	566
24.813	621	24.838	577
24.864	624	24.890	597
24.914	621	24.940	615
24.965	613	24.991	628
25.016	603	25.041	635
25.067	589	25.092	658
25.118	575	25.143	659
25.168	555	25.194	659
25.219	531	25.244	657
25.270	512	25.295	651
25.321	496	25.345	642
25.371	480	25.397	624
25.422	473	25.447	613
25.472	463	25.498	603
25.524	456	25.548	582
25.574	454	25.599	559
25.625	456	25.649	543
25.675	467	25.701	532
25.726	477	25.751	518
25.776	492	25.802	512
25.828	510	25.852	505
25.878	527	25.903	505
25.929	544	25.954	507
25.979	561	26.005	515
26.030	581	26.055	526
26.081	593	26.106	544
26.132	609	26.156	555
26.182	615	26.208	571
26.233	614	26.258	587
26.283	613	26.309	613
26.335	609	26.359	627
26.385	599	26.410	639
26.436	588	26.460	653
26.486	573	26.512	664
26.537	559	26.562	669
26.587	541	26.613	667
26.639	525	26.663	662
26.689	506	26.714	647
26.740	492	26.765	641
26.790	483	26.816	622
26.841	470	26.866	606
26.892	467	26.917	587
26.943	467	26.967	569
26.993	467	27.019	545
27.044	472	27.069	525
27.094	482	27.120	513
27.146	493	27.170	502
27.196	507	27.221	498
27.247	523	27.271	499
27.297	538	27.323	497
27.348	559	27.373	501
27.398	573	27.424	515
27.450	582	27.474	528
27.500	586	27.525	544
27.551	598	27.576	565
27.601	607	27.627	587
27.652	605	27.677	606
27.703	600	27.728	622
27.754	594	27.778	642
27.804	584	27.830	666
27.855	570	27.880	664
27.905	561	27.931	674
27.957	546	27.981	682
28.007	531	28.032	674
28.058	521	28.082	663
28.108	506	28.134	651
28.159	491	28.185	634
28.209	489	28.235	615
28.261	477	28.286	594
28.311	481	28.336	574
28.362	478	28.388	554
28.412	487	28.438	535
28.463	488	28.489	526
28.514	496	28.539	497
28.565	507	28.590	491
28.615	520	28.641	488
28.666	532	28.692	492
28.716	545	28.742	494
28.768	557	28.793	503
28.818	570	28.843	519
28.869	573	28.895	535
28.919	581	28.945	557
28.970	590	28.996	578
29.020	592	29.046	601
29.072	589	29.097	621
29.122	585	29.147	644
29.173	577	29.199	659
29.223	570	29.249	668
29.274	559	29.300	680
29.325	547	29.350	684
29.376	537	29.401	676
29.426	524	29.452	672
29.477	518	29.503	660
29.527	509	29.553	648
29.579	499	29.604	626
29.629	496	29.654	608
29.680	491	29.706	586
29.730	493	29.756	559
29.781	490	29.807	536
29.831	494	29.857	520
29.883	503	29.908	506
29.933	509	29.958	491
29.984	518	30.010	491
30.034	529	30.060	494
30.085	538	30.111	488
30.136	548	30.161	497
30.187	556	30.212	509
30.237	563	30.263	523
30.288	576	30.314	548
30.338	575	30.364	568
30.390	575	30.415	591
30.440	572	30.465	611
30.491	577	30.517	635
30.541	569	30.567	654
30.592	565	30.618	670
30.642	557	30.668	674
30.694	551	30.719	686
30.744	541	30.769	691
30.795	532	30.821	680
30.845	523	30.871	671
30.896	516	30.922	653
30.947	509	30.972	638
30.998	500	31.023	614
31.048	503	31.074	590
31.099	500	31.125	567
31.149	497	31.175	545
31.201	506	31.226	524
31.251	511	31.276	506
31.302	514	31.328	494
