#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:07:12 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	680	0.051	579
0.076	683	0.101	583
0.127	677	0.153	581
0.177	686	0.203	583
0.228	682	0.254	583
0.278	682	0.304	584
0.330	682	0.355	582
0.380	680	0.405	585
0.431	681	0.457	584
0.481	680	0.507	573
0.532	682	0.558	591
0.583	677	0.608	581
0.634	681	0.659	583
0.684	680	0.710	579
0.735	682	0.761	586
0.785	677	0.811	584
0.837	680	0.862	587
0.887	681	0.912	585
0.938	679	0.964	584
0.988	671	1.014	581
1.039	678	1.065	584
1.089	679	1.115	578
1.141	678	1.166	588
1.191	679	1.216	584
1.242	679	1.268	578
1.292	680	1.318	586
1.343	681	1.369	590
1.394	674	1.419	579
1.445	677	1.470	586
1.495	675	1.521	584
1.546	673	1.572	583
1.596	680	1.622	583
1.648	681	1.673	582
1.698	680	1.723	585
1.749	675	1.775	582
1.799	683	1.825	586
1.850	685	1.876	581
1.900	680	1.926	587
1.952	681	1.977	581
2.002	681	2.027	579
2.053	683	2.079	586
2.103	688	2.129	583
2.154	693	2.180	585
2.205	699	2.230	595
2.256	691	2.281	585
2.306	693	2.332	578
2.357	715	2.383	584
2.407	714	2.433	585
2.459	710	2.484	589
2.509	714	2.534	588
2.560	713	2.586	583
2.610	714	2.636	582
2.661	712	2.687	584
2.711	714	2.737	587
2.763	713	2.788	587
2.813	712	2.838	586
2.864	718	2.890	585
2.914	715	2.940	586
2.965	708	2.991	589
3.017	709	3.041	587
3.067	710	3.092	586
3.118	713	3.143	586
3.168	710	3.194	577
3.219	710	3.244	589
3.270	709	3.295	578
3.321	713	3.345	581
3.371	710	3.397	586
3.422	710	3.447	591
3.472	708	3.498	585
3.524	709	3.548	583
3.574	713	3.599	584
3.625	708	3.649	583
3.675	710	3.701	584
3.726	710	3.751	584
3.776	713	3.802	585
3.828	709	3.852	584
3.878	712	3.903	581
3.929	714	3.954	571
3.979	709	4.005	584
4.030	708	4.055	586
4.081	708	4.106	587
4.132	705	4.156	585
4.182	710	4.208	586
4.233	709	4.258	586
4.283	709	4.309	580
4.335	708	4.359	588
4.385	700	4.410	587
4.436	707	4.460	586
4.486	709	4.512	588
4.537	707	4.562	585
4.587	708	4.613	582
4.639	707	4.663	581
4.689	707	4.714	585
4.740	706	4.765	585
4.790	707	4.816	581
4.841	708	4.866	584
4.892	708	4.917	584
4.943	712	4.967	585
4.993	703	5.019	584
5.044	705	5.069	584
5.094	698	5.120	587
5.146	706	5.170	588
5.196	708	5.221	596
5.247	711	5.271	601
5.297	707	5.323	607
5.348	710	5.373	623
5.398	707	5.424	638
5.450	708	5.474	652
5.500	707	5.525	668
5.551	706	5.576	675
5.601	709	5.627	689
5.652	706	5.677	691
5.703	714	5.728	696
5.754	710	5.778	700
5.804	708	5.830	704
5.855	708	5.880	706
5.905	710	5.931	711
5.957	708	5.981	710
6.007	707	6.032	716
6.058	711	6.082	720
6.108	707	6.134	726
6.159	706	6.184	736
6.209	704	6.235	741
6.261	707	6.285	743
6.311	708	6.336	743
6.362	701	6.387	742
6.412	708	6.438	744
6.463	712	6.488	739
6.514	709	6.539	741
6.565	707	6.589	743
6.615	707	6.641	744
6.666	707	6.691	747
6.716	707	6.742	748
6.768	707	6.792	742
6.818	707	6.843	747
6.869	709	6.893	744
6.919	710	6.945	743
6.970	703	6.996	745
7.020	702	7.046	746
7.072	709	7.097	749
7.122	709	7.147	745
7.173	708	7.199	744
7.223	708	7.249	739
7.274	707	7.300	744
7.325	707	7.350	738
7.376	708	7.401	748
7.426	708	7.452	751
7.477	708	7.503	744
7.527	709	7.553	745
7.579	701	7.604	752
7.629	707	7.654	745
7.680	710	7.706	747
7.730	701	7.756	746
7.781	709	7.807	741
7.831	712	7.857	741
7.883	709	7.908	743
7.933	706	7.958	740
7.984	708	8.010	733
8.034	707	8.060	735
8.085	708	8.111	726
8.136	701	8.161	735
8.187	711	8.212	729
8.237	707	8.263	739
8.288	706	8.314	731
8.338	712	8.364	731
8.390	707	8.415	731
8.440	715	8.465	731
8.491	712	8.517	730
8.541	709	8.567	730
8.592	708	8.618	727
8.642	708	8.668	728
8.694	708	8.719	727
8.744	708	8.769	733
8.795	708	8.821	727
8.845	709	8.871	724
8.896	708	8.922	731
8.947	704	8.972	735
8.998	708	9.023	735
9.048	706	9.074	735
9.099	704	9.125	738
9.149	709	9.175	737
9.201	706	9.226	739
9.251	709	9.276	745
9.302	707	9.328	741
9.352	707	9.378	750
9.403	707	9.429	744
9.453	708	9.479	743
9.505	708	9.530	747
9.555	700	9.580	746
9.606	708	9.632	744
9.656	708	9.682	746
9.707	709	9.733	747
9.758	706	9.783	745
9.809	706	9.834	744
9.859	708	9.885	748
9.910	709	9.936	742
9.960	700	9.986	745
10.012	707	10.037	740
10.062	708	10.087	743
10.113	707	10.139	743
10.163	712	10.189	748
10.214	708	10.240	742
10.265	708	10.290	745
10.316	710	10.341	745
10.366	702	10.391	743
10.417	705	10.443	745
10.467	706	10.493	746
10.518	707	10.544	748
10.569	708	10.594	747
10.620	708	10.645	746
10.670	707	10.696	743
10.721	707	10.747	751
10.771	709	10.797	748
10.823	708	10.848	744
10.873	707	10.898	744
10.924	708	10.950	744
10.974	707	11.000	745
11.025	703	11.051	745
