#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	523	0.051	341
0.076	538	0.101	341
0.126	540	0.152	344
0.178	539	0.202	339
0.228	542	0.253	326
0.279	538	0.304	332
0.329	541	0.355	347
0.380	540	0.405	321
0.431	540	0.456	316
0.482	540	0.506	345
0.532	542	0.558	309
0.583	535	0.608	345
0.633	546	0.659	341
0.685	541	0.709	363
0.735	543	0.760	343
0.786	549	0.811	354
0.836	543	0.862	338
0.887	542	0.912	334
0.938	541	0.963	344
0.989	541	1.013	352
1.039	540	1.064	368
1.090	540	1.115	393
1.140	542	1.166	424
1.191	540	1.216	451
1.242	543	1.267	486
1.293	540	1.317	526
1.343	542	1.369	569
1.394	541	1.419	591
1.444	542	1.470	617
1.496	535	1.520	634
1.546	542	1.571	646
1.597	541	1.622	646
1.647	544	1.673	638
1.698	546	1.724	630
1.749	534	1.774	611
1.800	541	1.825	589
1.850	541	1.875	560
1.901	541	1.927	525
1.951	546	1.977	494
2.002	543	2.028	459
2.053	542	2.078	434
2.104	546	2.129	406
2.154	540	2.180	383
2.205	540	2.231	368
2.255	542	2.281	358
2.307	547	2.332	355
2.357	550	2.382	362
2.408	543	2.434	375
2.458	542	2.484	393
2.509	542	2.535	411
2.560	541	2.585	433
2.611	536	2.636	464
2.661	541	2.686	495
2.712	539	2.738	517
2.762	543	2.788	552
2.813	538	2.839	581
2.864	542	2.889	603
2.915	543	2.940	617
2.965	542	2.991	625
3.016	545	3.042	629
3.066	538	3.092	624
3.118	544	3.143	622
3.168	548	3.193	602
3.219	543	3.245	583
3.269	534	3.295	559
3.320	543	3.346	533
3.371	542	3.396	504
3.422	542	3.447	470
3.472	543	3.498	444
3.523	544	3.549	414
3.573	542	3.599	396
3.624	542	3.650	380
3.675	541	3.700	370
3.726	542	3.751	363
3.776	543	3.802	367
3.827	541	3.853	379
3.877	549	3.903	393
3.929	539	3.954	409
3.979	545	4.004	434
4.030	540	4.056	463
4.080	541	4.106	492
4.131	542	4.157	516
4.182	543	4.207	543
4.233	542	4.258	573
4.283	541	4.309	595
4.334	540	4.360	618
4.384	542	4.410	620
4.435	546	4.461	624
4.486	542	4.511	622
4.537	546	4.562	612
4.587	543	4.613	598
4.638	553	4.664	578
4.688	549	4.714	553
4.740	544	4.765	525
4.790	544	4.815	499
4.841	542	4.867	467
4.891	541	4.917	445
4.942	542	4.968	418
4.993	540	5.018	394
5.044	542	5.069	387
5.094	542	5.120	378
5.145	542	5.171	372
5.195	541	5.221	376
5.246	540	5.272	389
5.297	543	5.322	400
5.348	541	5.373	418
5.398	541	5.424	439
5.449	538	5.475	466
5.499	547	5.525	492
5.551	541	5.576	520
5.601	543	5.626	549
5.652	542	5.678	570
5.702	542	5.728	582
5.753	542	5.779	602
5.804	544	5.829	606
5.855	542	5.880	609
5.905	544	5.931	612
5.956	544	5.982	602
6.006	543	6.032	591
6.058	535	6.083	573
6.108	544	6.133	550
6.159	546	6.184	526
6.209	545	6.235	497
6.260	544	6.286	474
6.310	539	6.336	445
6.362	547	6.387	425
6.412	542	6.437	406
6.463	543	6.489	392
6.513	543	6.539	382
6.564	543	6.590	384
6.615	542	6.640	381
6.666	542	6.691	389
6.716	542	6.742	401
6.767	541	6.793	419
6.817	544	6.843	442
6.869	546	6.894	466
6.919	545	6.944	491
6.970	542	6.995	518
7.020	549	7.046	543
7.071	541	7.097	567
7.121	546	7.147	585
7.173	544	7.198	593
7.223	546	7.248	606
7.274	542	7.300	607
7.324	544	7.350	610
7.375	542	7.401	604
7.426	544	7.451	581
7.477	541	7.502	572
7.527	544	7.553	547
7.578	550	7.604	523
7.628	541	7.654	498
7.680	541	7.705	471
7.730	541	7.755	448
7.781	534	7.806	428
7.831	544	7.857	410
