#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:07:12 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.024	576	0.050	494
0.075	583	0.100	488
0.126	570	0.151	456
0.177	589	0.201	491
0.227	581	0.253	493
0.278	583	0.303	497
0.328	580	0.354	523
0.380	582	0.405	486
0.430	581	0.455	491
0.481	580	0.507	506
0.531	581	0.557	503
0.582	581	0.608	514
0.633	584	0.658	529
0.684	580	0.709	540
0.734	586	0.760	559
0.785	583	0.811	575
0.835	581	0.861	594
0.886	584	0.912	601
0.937	584	0.962	611
0.988	582	1.013	625
1.038	573	1.064	633
1.089	581	1.115	633
1.139	587	1.165	629
1.191	580	1.216	626
1.241	580	1.266	611
1.292	576	1.318	601
1.342	580	1.368	591
1.393	582	1.419	582
1.444	580	1.469	563
1.495	582	1.520	546
1.545	579	1.571	533
1.596	577	1.622	521
1.646	581	1.672	510
1.698	586	1.723	503
1.748	582	1.773	496
1.799	579	1.824	497
1.849	582	1.875	494
1.900	586	1.926	506
1.950	580	1.976	508
2.002	580	2.027	520
2.052	575	2.077	528
2.103	580	2.129	544
2.153	580	2.179	559
2.204	582	2.230	576
2.255	578	2.280	589
2.306	578	2.331	603
2.356	582	2.382	613
2.407	577	2.433	625
2.457	581	2.483	627
2.509	583	2.534	630
2.559	580	2.584	625
2.610	582	2.635	621
2.660	580	2.686	613
2.711	581	2.737	598
2.761	581	2.787	593
2.813	578	2.838	585
2.863	581	2.888	568
2.914	582	2.940	543
2.964	580	2.990	534
3.015	579	3.041	522
3.066	581	3.091	511
3.117	581	3.142	502
3.167	579	3.193	497
3.218	578	3.244	496
3.268	582	3.294	498
3.320	582	3.345	501
3.370	580	3.395	508
3.421	577	3.446	521
3.471	581	3.497	535
3.522	580	3.548	546
3.572	580	3.598	570
3.624	579	3.649	573
3.674	580	3.699	594
3.725	586	3.751	603
3.775	579	3.801	614
3.826	581	3.852	621
3.877	581	3.902	625
3.928	580	3.953	626
3.978	575	4.004	629
4.029	582	4.055	620
4.079	584	4.105	606
4.131	581	4.156	598
4.181	581	4.206	588
4.232	582	4.258	580
4.282	580	4.308	561
4.333	581	4.359	542
4.383	581	4.409	532
4.435	584	4.460	521
4.485	582	4.510	509
4.536	581	4.562	503
4.586	581	4.612	499
4.637	584	4.663	498
4.688	580	4.713	495
4.739	584	4.764	501
4.789	582	4.815	512
4.840	584	4.866	524
4.890	581	4.916	535
4.942	580	4.967	545
4.992	580	5.017	564
5.043	580	5.069	582
5.093	580	5.119	589
5.144	582	5.170	598
5.194	584	5.220	612
5.246	581	5.271	621
5.296	581	5.321	624
5.347	586	5.373	625
5.397	578	5.423	623
5.448	585	5.474	618
5.499	580	5.524	609
5.550	578	5.575	600
5.600	583	5.626	585
5.651	581	5.677	575
5.701	584	5.727	562
5.753	582	5.778	542
5.803	580	5.828	529
5.854	581	5.880	520
5.904	581	5.930	512
5.955	583	5.981	508
6.005	582	6.031	498
6.057	582	6.082	499
6.107	582	6.132	502
6.158	579	6.184	508
6.208	580	6.234	512
6.259	585	6.285	525
6.311	572	6.335	537
6.361	577	6.386	551
6.412	580	6.437	566
6.462	587	6.488	576
6.513	580	6.538	590
6.564	580	6.589	603
6.615	581	6.639	605
6.665	582	6.691	619
6.716	580	6.741	623
6.766	582	6.792	622
6.818	584	6.842	622
6.868	585	6.893	616
6.919	590	6.943	607
6.969	587	6.995	596
7.020	580	7.045	584
7.070	582	7.096	573
7.122	581	7.146	564
7.172	580	7.197	547
7.223	581	7.248	533
7.273	577	7.299	524
7.324	581	7.349	510
7.375	591	7.400	499
7.426	580	7.450	497
7.476	581	7.502	507
7.527	579	7.552	503
7.577	570	7.603	507
7.629	579	7.653	517
7.679	577	7.704	526
7.730	583	7.754	544
7.780	570	7.806	552
7.831	585	7.856	567
7.881	579	7.907	578
7.933	582	7.957	598
7.983	580	8.008	602
8.034	581	8.059	609
8.084	581	8.110	619
8.135	580	8.160	618
8.186	581	8.211	620
8.237	588	8.261	619
8.287	584	8.313	607
8.338	584	8.363	604
8.388	581	8.414	593
8.440	582	8.464	583
8.490	578	8.515	571
8.541	574	8.565	560
8.591	584	8.617	543
8.642	586	8.667	533
8.692	581	8.718	519
8.744	575	8.768	513
8.794	580	8.819	497
8.845	587	8.870	502
8.895	581	8.921	506
8.946	581	8.971	505
8.997	577	9.022	511
9.048	580	9.072	518
9.098	580	9.124	528
9.149	582	9.174	540
9.199	578	9.225	552
9.251	584	9.275	567
9.301	580	9.326	579
9.352	578	9.376	591
9.402	580	9.428	603
9.453	580	9.479	617
9.503	582	9.529	610
9.555	581	9.580	616
9.605	581	9.630	620
9.656	580	9.682	617
9.706	581	9.732	615
9.757	581	9.783	597
9.808	581	9.833	592
9.859	580	9.884	581
9.909	581	9.935	568
9.960	580	9.986	555
10.010	581	10.036	542
10.062	582	10.087	530
10.112	575	10.137	520
10.163	579	10.189	511
10.213	580	10.239	504
10.264	580	10.290	503
10.314	581	10.340	508
10.366	580	10.391	498
10.416	583	10.441	516
10.467	581	10.493	520
10.517	581	10.543	528
10.568	580	10.594	543
10.619	583	10.644	554
10.670	579	10.695	568
10.720	577	10.746	580
10.771	580	10.797	589
10.821	584	10.847	602
10.873	583	10.898	615
10.923	584	10.948	616
10.974	582	11.000	617
11.024	582	11.050	618
11.075	583	11.101	619
11.125	581	11.151	613
11.177	581	11.202	600
11.227	581	11.252	597
11.278	580	11.304	577
11.328	577	11.354	567
11.379	580	11.405	552
11.430	589	11.455	542
11.481	572	11.506	530
11.531	578	11.557	519
11.582	578	11.608	511
11.632	579	11.658	508
11.684	582	11.709	505
11.734	582	11.759	504
11.785	581	11.811	513
11.835	579	11.861	506
11.886	582	11.912	527
11.936	581	11.962	530
11.988	586	12.013	539
12.038	584	12.063	557
12.089	581	12.115	569
12.139	583	12.165	582
12.190	583	12.216	591
12.241	581	12.266	602
12.292	581	12.317	611
12.342	579	12.368	615
12.393	583	12.419	617
12.443	581	12.469	616
12.495	584	12.520	604
12.545	582	12.570	600
12.596	580	12.622	605
12.646	581	12.672	587
12.697	581	12.723	575
12.747	581	12.773	567
12.799	580	12.824	547
12.849	581	12.874	534
12.900	581	12.926	530
12.950	587	12.976	521
13.001	578	13.027	513
13.052	584	13.077	507
13.103	585	13.128	506
13.154	583	13.179	506
13.204	578	13.230	510
13.255	578	13.280	516
13.306	580	13.331	527
13.357	581	13.381	539
13.407	580	13.433	553
13.458	580	13.483	561
13.508	581	13.534	571
13.560	581	13.584	583
13.610	584	13.635	594
13.661	585	13.685	605
13.711	581	13.737	610
13.762	575	13.787	608
13.812	583	13.838	615
13.864	586	13.888	614
13.914	589	13.939	611
13.965	578	13.990	605
14.015	582	14.041	598
14.066	582	14.091	585
14.117	581	14.142	575
14.168	581	14.192	568
14.218	582	14.244	552
14.269	584	14.294	535
14.319	581	14.345	531
14.371	582	14.395	519
14.421	581	14.446	511
14.472	581	14.496	510
14.522	581	14.548	507
14.573	582	14.598	509
14.623	580	14.649	513
14.675	585	14.699	517
14.725	580	14.750	527
14.776	585	14.801	543
14.826	581	14.852	552
14.877	582	14.902	561
14.928	581	14.953	575
14.979	581	15.003	580
15.029	584	15.055	589
15.080	581	15.105	601
15.130	581	15.156	614
15.182	581	15.206	613
15.232	582	15.257	615
15.283	583	15.307	606
15.333	581	15.359	610
15.384	577	15.409	605
15.434	586	15.460	597
15.486	577	15.510	585
15.536	580	15.561	574
15.587	583	15.612	563
15.637	582	15.663	541
15.688	581	15.713	536
15.739	581	15.764	534
15.790	578	15.814	523
15.840	581	15.866	511
15.891	582	15.916	507
15.941	579	15.967	507
15.993	581	16.017	510
16.043	580	16.068	514
16.094	581	16.118	521
16.144	580	16.170	532
16.195	575	16.221	539
16.245	577	16.271	550
16.297	581	16.322	561
16.347	584	16.372	578
16.398	580	16.424	581
16.448	583	16.474	592
16.499	581	16.525	598
16.550	581	16.575	611
16.601	581	16.626	618
16.651	580	16.677	615
16.702	581	16.728	610
16.752	582	16.778	608
16.804	579	16.829	601
16.854	579	16.879	593
16.905	580	16.931	582
16.955	581	16.981	573
17.006	578	17.032	562
17.056	579	17.082	549
17.108	580	17.133	532
17.158	580	17.183	528
17.209	581	17.235	521
17.259	582	17.285	515
17.310	580	17.336	511
17.361	583	17.386	505
17.412	582	17.437	508
17.462	581	17.488	510
17.513	581	17.539	522
17.563	580	17.589	530
17.615	580	17.640	541
17.665	582	17.690	551
17.716	582	17.742	563
17.766	576	17.792	575
17.817	577	17.843	583
17.867	583	17.893	594
17.919	581	17.944	604
17.969	582	17.994	604
18.020	581	18.046	609
18.070	581	18.096	610
18.121	581	18.147	602
18.172	581	18.197	607
18.223	580	18.248	605
18.273	581	18.299	591
18.324	582	18.350	582
18.374	584	18.400	574
18.426	584	18.451	560
18.476	582	18.501	550
18.527	583	18.553	539
18.577	579	18.603	528
18.628	583	18.654	522
18.678	580	18.704	516
18.730	580	18.755	514
18.780	585	18.805	511
18.831	581	18.857	514
18.881	581	18.907	516
18.932	581	18.958	529
18.983	580	19.008	532
19.034	584	19.059	543
19.084	580	19.110	551
19.135	580	19.161	563
19.185	583	19.211	575
19.237	574	19.262	584
19.287	578	19.312	594
19.338	578	19.364	602
19.388	581	19.414	606
19.439	578	19.465	610
19.490	586	19.515	610
19.541	582	19.566	609
19.591	581	19.616	607
19.642	582	19.668	596
19.692	581	19.718	597
19.743	581	19.769	580
19.794	581	19.819	571
19.845	583	19.870	560
19.895	580	19.921	547
19.946	583	19.972	537
19.996	583	20.022	528
20.048	575	20.073	522
20.098	574	20.123	517
20.149	577	20.175	513
20.199	577	20.225	513
20.250	582	20.276	515
20.301	579	20.326	517
20.352	574	20.377	528
20.402	580	20.427	540
20.453	581	20.479	549
20.503	580	20.529	553
20.554	578	20.580	560
20.605	574	20.630	575
20.656	580	20.681	588
20.707	582	20.732	594
20.757	583	20.783	601
20.808	580	20.833	610
20.859	579	20.884	610
20.910	579	20.934	615
20.960	583	20.986	607
21.011	583	21.036	601
21.061	581	21.087	596
21.113	583	21.137	588
