#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	676	0.050	738
0.076	666	0.101	724
0.127	648	0.152	706
0.177	628	0.203	669
0.228	598	0.253	633
0.278	569	0.304	608
0.330	536	0.354	565
0.380	507	0.405	534
0.431	477	0.456	500
0.481	449	0.507	472
0.532	430	0.557	449
0.583	412	0.608	435
0.634	408	0.658	426
0.684	403	0.710	426
0.735	406	0.760	432
0.785	416	0.811	453
0.837	432	0.861	470
0.887	455	0.912	497
0.938	485	0.963	531
0.988	511	1.014	574
1.039	541	1.064	608
1.090	572	1.115	636
1.141	595	1.165	671
1.191	627	1.216	699
1.242	656	1.267	723
1.292	667	1.318	734
1.343	675	1.368	741
1.394	670	1.419	741
1.445	679	1.469	733
1.495	660	1.521	717
1.546	643	1.571	696
1.596	620	1.622	669
1.648	595	1.672	635
1.698	565	1.723	606
1.749	533	1.774	563
1.799	505	1.825	530
1.850	476	1.876	488
1.901	451	1.926	468
1.952	434	1.977	450
2.002	412	2.027	441
2.053	401	2.079	430
2.103	405	2.129	432
2.154	408	2.180	439
2.205	416	2.230	453
2.256	434	2.281	476
2.306	457	2.332	505
2.357	483	2.383	548
2.407	512	2.433	569
2.459	539	2.484	611
2.509	572	2.534	639
2.560	594	2.586	672
2.610	627	2.636	697
2.661	650	2.687	719
2.712	660	2.737	732
2.763	675	2.788	739
2.813	669	2.838	740
2.864	665	2.890	731
2.914	658	2.940	715
2.965	639	2.991	693
3.016	616	3.041	669
3.067	591	3.092	632
3.117	563	3.143	602
3.168	533	3.194	562
3.218	504	3.244	528
3.270	472	3.295	497
3.320	450	3.345	473
3.371	425	3.397	454
3.421	413	3.447	437
3.472	406	3.498	436
3.523	403	3.548	433
3.574	408	3.599	441
3.624	412	3.650	455
3.675	439	3.701	485
3.725	460	3.751	512
3.776	488	3.802	545
3.827	517	3.852	576
3.878	544	3.903	610
3.928	570	3.954	645
3.979	601	4.005	677
4.029	627	4.055	699
4.081	649	4.106	719
4.131	659	4.156	733
4.182	669	4.208	736
4.232	674	4.258	735
4.283	659	4.309	727
4.334	656	4.359	710
4.385	642	4.410	688
4.435	614	4.461	658
4.486	589	4.512	626
4.536	560	4.562	591
4.587	533	4.613	561
4.638	503	4.663	528
4.689	474	4.714	498
4.739	449	4.765	472
4.790	429	4.816	453
4.840	419	4.866	439
4.892	407	4.917	434
4.942	405	4.967	438
4.993	408	5.019	445
5.043	423	5.069	459
5.094	439	5.120	484
5.145	462	5.170	513
5.196	488	5.221	547
5.246	523	5.272	580
5.297	545	5.323	608
5.347	575	5.373	638
5.398	606	5.424	670
5.449	628	5.474	694
5.500	646	5.525	717
5.550	661	5.576	728
5.601	666	5.627	734
5.651	672	5.677	732
5.703	661	5.728	718
5.753	646	5.778	706
5.804	631	5.830	682
5.854	611	5.880	656
5.905	586	5.931	623
5.956	558	5.981	592
6.007	529	6.032	557
6.057	499	6.083	529
6.108	473	6.134	501
6.158	446	6.184	470
6.210	431	6.235	453
6.260	419	6.285	441
6.311	413	6.336	437
6.361	410	6.387	439
6.412	414	6.438	449
6.462	429	6.488	466
6.514	441	6.539	495
6.564	463	6.589	518
6.615	490	6.641	547
6.665	518	6.691	579
6.716	547	6.742	610
6.767	575	6.792	653
6.818	603	6.843	671
6.868	625	6.894	697
6.919	643	6.945	715
6.969	659	6.995	725
7.021	663	7.046	731
7.071	667	7.096	728
7.122	660	7.147	717
7.172	656	7.198	700
7.223	632	7.249	673
7.273	610	7.299	655
7.325	583	7.350	620
7.375	556	7.400	583
7.426	527	7.452	559
7.476	498	7.502	531
7.527	472	7.553	492
7.578	449	7.603	473
7.629	432	7.654	455
7.679	423	7.705	445
7.730	410	7.756	440
7.780	410	7.806	443
7.832	419	7.857	450
7.882	424	7.907	471
7.933	442	7.958	493
7.983	465	8.009	521
8.034	492	8.060	549
8.084	521	8.110	581
8.136	550	8.161	617
8.186	577	8.211	653
8.237	603	8.263	679
8.287	626	8.313	700
8.338	646	8.364	715
8.389	656	8.414	724
8.440	675	8.465	728
8.490	673	8.516	724
8.541	665	8.567	714
8.591	651	8.617	696
8.643	631	8.668	675
8.693	602	8.718	645
8.744	583	8.770	618
8.794	554	8.820	585
8.845	525	8.871	552
8.895	498	8.921	518
8.947	472	8.972	498
8.997	449	9.022	474
9.048	430	9.074	458
9.098	419	9.124	447
9.149	413	9.175	442
9.200	408	9.225	447
9.251	412	9.276	458
9.301	426	9.327	470
9.352	445	9.378	498
9.402	469	9.428	526
9.454	496	9.479	553
9.504	522	9.529	587
9.555	550	9.581	613
9.605	578	9.631	644
9.656	602	9.682	674
9.706	626	9.732	693
9.758	646	9.783	710
9.808	656	9.833	721
9.859	661	9.885	724
9.909	657	9.935	721
9.960	662	9.986	710
10.011	646	10.036	692
10.062	626	10.087	671
10.112	602	10.138	643
10.163	580	10.189	613
10.213	550	10.239	580
10.265	522	10.290	553
10.315	492	10.340	517
10.366	471	10.392	493
10.416	447	10.442	467
10.467	427	10.493	458
10.517	421	10.543	448
10.569	412	10.594	446
10.619	417	10.644	450
10.670	417	10.696	462
10.720	438	10.746	479
10.771	450	10.797	502
10.823	470	10.847	529
10.873	499	10.898	561
10.924	521	10.949	591
10.974	553	11.000	618
11.025	580	11.050	646
11.076	605	11.101	671
11.127	628	11.151	696
11.177	644	11.203	710
11.228	655	11.253	719
11.278	659	11.304	721
11.330	664	11.354	717
11.380	655	11.405	706
11.431	638	11.455	688
11.481	628	11.507	666
11.532	604	11.557	638
11.582	575	11.608	608
11.634	547	11.658	579
11.684	520	11.709	548
11.735	494	11.760	517
11.785	468	11.811	501
