#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:07:12 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	552	0.051	435
0.076	548	0.101	439
0.126	546	0.152	437
0.178	547	0.202	438
0.228	551	0.253	438
0.279	550	0.303	440
0.329	541	0.355	438
0.380	543	0.405	437
0.430	546	0.456	437
0.482	546	0.506	432
0.532	546	0.557	436
0.583	549	0.608	437
0.633	545	0.659	436
0.684	546	0.710	439
0.735	546	0.760	436
0.786	546	0.811	437
0.836	542	0.862	434
0.887	544	0.913	437
0.937	547	0.963	442
0.989	545	1.014	452
1.039	549	1.064	466
1.090	542	1.115	496
1.140	545	1.166	523
1.191	547	1.217	553
1.241	548	1.267	578
1.293	550	1.318	607
1.343	553	1.368	641
1.394	547	1.420	666
1.444	552	1.470	686
1.495	553	1.521	698
1.546	555	1.571	705
1.597	557	1.622	707
1.647	560	1.673	702
1.698	561	1.724	685
1.748	558	1.774	668
1.800	564	1.825	646
1.850	560	1.875	617
1.901	564	1.927	587
1.951	563	1.977	559
2.002	565	2.028	527
2.052	560	2.078	494
2.104	557	2.129	474
2.154	553	2.179	457
2.205	554	2.231	446
2.255	544	2.281	442
2.306	544	2.332	443
2.357	550	2.382	452
2.408	541	2.433	471
2.458	538	2.484	488
2.509	533	2.535	511
2.559	533	2.585	540
2.611	532	2.636	572
2.661	532	2.686	602
2.712	535	2.738	629
2.762	536	2.788	655
2.813	535	2.839	680
2.863	542	2.889	688
2.915	553	2.940	699
2.965	551	2.990	702
3.016	561	3.042	698
3.066	567	3.092	686
3.117	573	3.143	671
3.168	575	3.193	643
3.219	578	3.244	619
3.269	578	3.295	597
3.320	578	3.346	566
3.370	577	3.396	540
3.422	574	3.447	511
3.472	572	3.497	486
3.523	566	3.549	469
3.573	558	3.599	458
3.624	542	3.650	450
3.674	545	3.700	447
3.726	540	3.751	454
3.776	531	3.801	462
3.827	527	3.853	485
3.877	525	3.903	501
3.928	520	3.954	528
3.979	517	4.004	566
4.030	519	4.055	588
4.080	523	4.106	617
4.131	523	4.157	642
4.181	531	4.207	662
4.233	538	4.258	680
4.283	542	4.308	688
4.334	559	4.360	696
4.384	559	4.410	695
4.435	566	4.461	689
4.485	575	4.511	677
4.537	582	4.562	653
4.587	587	4.612	633
4.638	592	4.664	600
4.688	591	4.714	575
4.739	589	4.765	550
4.790	587	4.815	524
4.841	584	4.866	500
4.891	577	4.917	481
4.942	566	4.968	465
