#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	657	0.050	445
0.075	656	0.101	442
0.127	666	0.151	443
0.177	656	0.202	457
0.228	653	0.253	459
0.278	631	0.304	468
0.329	609	0.354	502
0.380	585	0.405	527
0.431	559	0.455	565
0.481	529	0.507	586
0.532	499	0.557	618
0.582	473	0.608	644
0.634	449	0.658	669
0.684	432	0.709	688
0.735	414	0.759	700
0.785	409	0.811	702
0.836	408	0.861	700
0.886	423	0.912	692
0.938	439	0.962	676
0.988	452	1.013	656
1.039	475	1.064	632
1.089	503	1.115	599
1.140	534	1.165	571
1.191	560	1.216	548
1.242	588	1.266	512
1.292	612	1.318	491
1.343	632	1.368	466
1.393	647	1.419	454
1.445	655	1.469	449
1.495	657	1.520	447
1.546	655	1.570	454
1.596	646	1.622	466
1.647	629	1.673	485
1.697	599	1.723	507
1.749	593	1.774	536
1.799	554	1.824	565
1.850	521	1.876	593
1.900	494	1.926	625
1.951	468	1.977	649
2.002	446	2.027	679
2.053	429	2.078	684
2.103	423	2.129	698
2.154	413	2.180	694
2.204	426	2.230	695
2.256	422	2.281	687
2.306	438	2.331	675
2.357	454	2.382	649
2.407	478	2.433	624
2.458	502	2.484	596
2.508	532	2.534	567
2.560	565	2.585	537
2.610	586	2.635	511
2.661	614	2.687	490
2.711	635	2.737	473
2.762	647	2.788	454
2.813	656	2.838	454
2.864	653	2.889	452
2.914	651	2.940	451
2.965	639	2.991	472
3.015	621	3.041	492
3.067	605	3.092	514
3.117	573	3.142	541
3.168	545	3.194	569
3.218	510	3.244	600
3.269	488	3.295	622
3.319	460	3.345	653
3.371	442	3.396	671
3.421	424	3.446	685
3.472	416	3.498	690
3.522	412	3.548	691
3.573	416	3.599	687
3.624	424	3.649	681
3.675	440	3.700	665
3.725	459	3.751	643
3.776	484	3.802	616
3.826	517	3.852	594
3.878	543	3.903	561
3.928	571	3.953	534
3.979	595	4.005	508
4.029	613	4.055	489
4.080	629	4.106	469
4.130	648	4.156	459
4.182	649	4.207	457
4.232	656	4.257	455
4.283	648	4.309	471
4.333	634	4.359	475
4.384	617	4.410	501
4.435	591	4.460	525
4.486	568	4.511	548
4.536	538	4.562	580
4.587	512	4.613	605
4.637	482	4.663	629
4.689	458	4.714	653
4.739	440	4.764	672
4.790	426	4.816	681
4.840	418	4.866	692
4.891	410	4.917	694
4.941	415	4.967	688
4.993	435	5.018	670
5.043	442	5.068	657
5.094	463	5.120	635
5.144	488	5.170	608
5.195	514	5.221	589
5.246	544	5.271	560
5.297	572	5.322	533
5.347	596	5.373	508
5.398	622	5.424	478
5.448	637	5.474	469
