#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:07:12 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	698	0.050	426
0.076	703	0.101	428
0.127	706	0.152	428
0.177	705	0.203	425
0.228	707	0.253	427
0.279	706	0.304	422
0.330	706	0.354	431
0.380	707	0.406	428
0.431	707	0.456	437
0.481	703	0.507	444
0.532	688	0.557	464
0.583	669	0.608	493
0.634	641	0.658	522
0.684	612	0.710	558
0.735	574	0.760	593
0.785	536	0.811	626
0.837	495	0.861	663
0.887	467	0.912	690
0.938	437	0.963	718
0.988	414	1.014	725
1.039	403	1.064	742
1.090	391	1.115	736
1.141	393	1.165	730
1.191	402	1.217	710
1.242	424	1.267	688
1.292	440	1.318	659
1.343	476	1.368	629
1.394	508	1.419	588
1.445	538	1.469	554
1.495	581	1.521	521
1.546	611	1.571	489
1.596	640	1.622	465
1.648	671	1.672	442
1.698	689	1.723	427
1.749	703	1.775	435
1.799	703	1.825	442
1.850	697	1.876	448
1.901	680	1.926	468
1.952	661	1.977	498
2.002	632	2.028	535
2.053	602	2.079	565
2.103	562	2.129	605
2.155	525	2.180	638
2.205	497	2.230	670
2.256	469	2.281	695
2.306	431	2.332	715
2.357	414	2.383	727
2.407	401	2.433	733
2.459	397	2.484	733
2.509	397	2.534	717
2.560	407	2.586	706
2.610	426	2.636	688
2.661	449	2.687	651
2.712	479	2.737	618
2.763	514	2.788	585
2.813	547	2.839	547
2.864	582	2.890	515
2.914	609	2.940	485
2.966	646	2.991	460
3.016	678	3.041	442
3.067	686	3.092	433
3.117	696	3.143	434
3.168	699	3.194	439
3.218	691	3.244	459
3.270	676	3.295	475
3.320	655	3.345	504
3.371	628	3.397	539
3.421	596	3.447	572
3.472	560	3.498	606
3.523	529	3.548	643
3.574	492	3.599	673
3.624	460	3.650	701
3.675	435	3.701	720
3.725	422	3.751	731
3.777	403	3.802	737
3.827	398	3.852	731
3.878	403	3.903	721
3.928	414	3.954	703
3.979	431	4.005	678
4.029	459	4.055	649
4.081	487	4.106	612
4.131	521	4.156	576
4.182	556	4.208	542
4.232	590	4.258	511
4.283	615	4.309	481
4.334	647	4.359	458
4.385	675	4.410	444
4.435	685	4.461	434
4.486	695	4.512	432
4.536	696	4.562	437
4.588	684	4.613	457
4.638	668	4.663	483
4.689	646	4.715	518
4.739	619	4.765	537
4.790	588	4.816	576
4.840	554	4.866	615
4.892	522	4.917	648
4.942	488	4.967	678
4.993	458	5.019	703
5.043	434	5.069	721
5.094	416	5.120	733
5.145	407	5.170	730
5.196	404	5.221	727
5.246	412	5.272	719
5.297	419	5.323	698
5.347	443	5.373	669
5.399	465	5.424	636
5.449	494	5.474	608
5.500	527	5.526	581
5.550	560	5.576	545
5.601	590	5.627	506
5.651	624	5.677	478
5.703	651	5.728	454
5.753	671	5.778	441
5.804	681	5.830	436
5.854	692	5.880	432
5.905	693	5.931	445
5.956	677	5.981	462
6.007	668	6.032	485
6.057	645	6.083	509
6.108	611	6.134	553
6.158	581	6.184	584
6.210	547	6.235	608
6.260	515	6.285	660
6.311	484	6.337	683
6.361	455	6.387	703
6.412	432	6.438	724
6.462	413	6.488	732
