#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:07:12 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	682	0.051	724
0.076	685	0.101	712
0.127	683	0.153	720
0.177	687	0.203	720
0.228	675	0.254	719
0.278	681	0.304	718
0.330	687	0.355	719
0.380	683	0.405	719
0.431	681	0.457	719
0.481	682	0.507	719
0.532	682	0.558	715
0.583	681	0.608	714
0.634	673	0.659	710
0.684	660	0.710	694
0.735	638	0.761	671
0.785	614	0.811	643
0.837	587	0.862	617
0.887	556	0.912	590
0.938	527	0.964	554
0.989	502	1.014	523
1.039	472	1.065	496
1.090	442	1.115	471
1.141	431	1.166	455
1.192	424	1.216	446
1.242	416	1.268	433
1.293	417	1.318	444
1.343	426	1.369	449
1.395	439	1.419	474
1.445	458	1.470	490
1.496	479	1.521	514
1.546	509	1.572	545
1.597	542	1.622	574
1.648	564	1.673	607
1.699	597	1.723	636
1.749	623	1.775	664
1.800	642	1.825	686
1.850	665	1.876	703
1.901	670	1.926	712
1.952	675	1.977	717
2.003	676	2.027	709
2.053	668	2.079	704
2.104	654	2.129	687
2.154	640	2.180	664
2.206	609	2.230	641
2.256	586	2.281	612
2.307	552	2.332	584
2.357	521	2.383	551
2.408	492	2.433	522
2.459	469	2.484	495
2.510	454	2.534	473
2.560	434	2.586	455
2.611	424	2.636	446
2.661	419	2.687	439
2.713	420	2.737	437
2.763	430	2.788	456
2.814	444	2.838	470
2.864	460	2.890	490
2.915	486	2.940	522
2.965	513	2.991	549
3.017	542	3.041	581
3.067	570	3.092	606
3.118	600	3.143	638
3.168	615	3.194	665
3.219	646	3.244	688
3.270	663	3.295	703
3.321	670	3.345	709
3.371	674	3.397	713
3.422	674	3.447	713
3.472	666	3.498	707
3.524	649	3.548	689
3.574	632	3.599	663
3.625	608	3.649	637
3.675	580	3.701	610
3.726	553	3.752	578
3.776	521	3.802	548
3.828	491	3.853	518
3.878	475	3.903	494
3.929	447	3.955	471
3.979	436	4.005	455
4.030	427	4.056	446
4.081	422	4.106	442
4.132	423	4.157	447
4.182	433	4.208	455
4.233	446	4.259	478
4.283	462	4.309	503
4.335	490	4.360	527
4.385	518	4.410	546
4.436	543	4.461	583
4.486	568	4.512	618
4.537	599	4.563	642
4.587	621	4.613	667
4.639	636	4.664	688
4.689	661	4.714	703
4.740	668	4.766	713
4.790	671	4.816	713
4.841	669	4.867	705
4.892	660	4.917	698
4.943	648	4.968	678
4.993	628	5.019	665
5.044	607	5.070	636
5.094	578	5.120	604
5.146	549	5.171	574
5.196	523	5.221	544
5.247	499	5.273	517
5.297	472	5.323	492
5.348	456	5.374	470
5.398	437	5.424	460
5.450	428	5.475	447
5.500	424	5.525	445
5.551	428	5.577	451
5.601	435	5.627	462
5.652	449	5.678	479
5.703	469	5.728	508
5.754	492	5.779	527
5.804	517	5.830	559
5.855	542	5.881	587
5.905	572	5.931	616
5.957	601	5.982	644
6.007	625	6.032	667
6.058	647	6.084	689
6.108	654	6.134	702
6.159	666	6.185	711
6.209	668	6.235	714
6.261	666	6.286	717
6.311	658	6.336	697
6.362	641	6.388	675
6.412	625	6.438	663
6.463	597	6.489	629
6.514	576	6.539	603
6.565	552	6.590	565
6.615	520	6.641	542
6.666	494	6.692	514
6.716	479	6.742	496
6.768	448	6.793	471
6.818	436	6.843	457
6.869	434	6.895	455
6.919	427	6.945	447
6.970	429	6.996	454
7.020	437	7.046	467
7.072	452	7.097	487
7.122	469	7.147	507
7.173	494	7.199	532
7.223	518	7.249	561
7.274	543	7.300	590
7.325	566	7.350	621
7.376	603	7.401	645
7.426	619	7.452	671
7.477	638	7.503	684
7.527	656	7.553	704
7.579	667	7.604	709
7.629	666	7.654	715
7.680	664	7.706	709
7.730	654	7.756	697
7.781	641	7.807	676
7.831	620	7.857	656
7.883	596	7.908	626
7.933	578	7.958	597
7.984	548	8.010	568
8.034	521	8.060	540
8.085	498	8.111	513
8.136	472	8.161	489
8.187	452	8.212	467
8.237	436	8.263	459
8.288	432	8.314	451
8.338	428	8.364	451
8.390	433	8.415	458
8.440	440	8.465	467
8.491	453	8.517	486
8.541	474	8.567	517
8.592	495	8.618	536
8.642	522	8.668	565
8.694	542	8.719	595
8.744	575	8.769	620
8.795	606	8.821	642
8.845	633	8.871	671
8.896	640	8.922	690
8.948	654	8.972	701
8.998	662	9.023	707
9.049	664	9.074	706
9.099	661	9.125	701
9.150	653	9.175	688
9.201	639	9.226	670
9.252	620	9.276	650
9.302	602	9.328	621
9.353	574	9.378	591
9.403	545	9.429	565
9.455	517	9.479	536
9.505	492	9.530	511
9.556	478	9.580	488
9.606	454	9.632	472
9.657	437	9.682	461
9.707	432	9.733	457
9.759	429	9.783	453
9.809	434	9.834	459
9.860	442	9.885	475
9.910	458	9.936	494
9.961	476	9.986	522
10.012	498	10.037	540
10.063	525	10.087	570
10.113	549	10.139	597
10.164	575	10.189	625
10.214	595	10.240	649
10.266	624	10.290	670
10.316	642	10.341	689
10.367	656	10.391	700
10.417	663	10.443	704
10.468	668	10.493	704
10.518	660	10.544	696
10.570	652	10.594	679
10.620	637	10.645	671
10.671	618	10.696	644
10.721	594	10.747	620
10.772	571	10.797	588
10.823	547	10.848	561
10.874	517	10.898	535
10.924	501	10.950	511
10.975	471	11.000	488
11.025	450	11.051	471
11.077	449	11.101	459
11.127	434	11.152	451
11.178	436	11.202	456
11.228	438	11.254	464
11.279	445	11.304	477
11.329	458	11.355	500
11.381	477	11.405	518
