#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	640	0.050	500
0.076	615	0.101	533
0.127	588	0.152	568
0.177	552	0.203	604
0.228	524	0.253	639
0.279	491	0.304	669
0.330	456	0.354	692
0.380	432	0.405	705
0.431	411	0.456	725
0.481	402	0.507	724
0.532	396	0.557	724
0.583	399	0.608	714
0.634	410	0.658	692
0.684	427	0.710	669
0.735	449	0.760	635
0.785	478	0.811	600
0.837	509	0.861	564
0.887	535	0.912	527
0.938	576	0.963	496
0.988	605	1.014	468
1.039	636	1.065	446
1.090	654	1.115	431
1.141	667	1.166	426
1.191	676	1.216	427
1.242	675	1.268	428
1.292	669	1.318	461
1.343	654	1.369	479
1.394	639	1.419	510
1.445	607	1.470	539
1.495	578	1.521	575
1.546	548	1.572	616
1.596	512	1.622	643
1.648	486	1.673	673
1.698	460	1.723	699
1.749	431	1.775	716
1.799	411	1.825	726
1.850	406	1.876	728
1.901	403	1.926	723
1.952	413	1.977	714
2.002	416	2.027	687
2.053	432	2.079	659
2.103	457	2.129	628
2.154	482	2.180	594
2.205	515	2.230	558
2.256	545	2.281	525
2.306	578	2.332	494
2.357	608	2.383	465
2.407	628	2.433	444
2.459	650	2.484	427
2.509	663	2.534	421
2.560	673	2.586	427
2.610	675	2.636	438
2.661	662	2.687	455
2.712	646	2.737	487
2.763	626	2.788	507
2.813	599	2.839	548
2.864	571	2.890	579
2.914	539	2.940	616
2.965	511	2.991	649
3.016	479	3.041	678
3.067	455	3.092	701
3.117	430	3.143	717
3.168	416	3.194	728
3.218	410	3.244	731
3.270	404	3.295	718
3.320	407	3.345	706
3.371	423	3.397	685
3.421	443	3.447	659
3.472	463	3.498	626
3.523	492	3.548	591
3.574	527	3.599	556
3.624	553	3.650	525
3.675	581	3.701	488
3.725	610	3.751	463
3.776	636	3.802	442
3.827	652	3.852	431
3.878	665	3.903	425
3.928	669	3.954	429
3.979	663	4.005	440
4.029	651	4.055	456
4.081	643	4.106	484
4.131	616	4.156	513
4.182	592	4.208	547
4.232	561	4.258	583
4.283	536	4.309	624
4.334	502	4.359	645
4.385	475	4.410	678
4.435	449	4.461	704
4.486	432	4.512	712
4.536	418	4.562	726
4.587	417	4.613	728
4.638	412	4.663	719
4.689	417	4.714	703
4.739	429	4.765	682
4.790	449	4.816	652
4.840	476	4.866	620
4.892	501	4.917	586
4.942	529	4.967	552
4.993	560	5.019	518
5.043	588	5.069	484
5.094	613	5.120	463
5.145	635	5.170	444
5.196	651	5.221	427
5.246	661	5.272	419
5.297	664	5.323	430
5.347	656	5.373	448
5.399	650	5.424	462
5.449	637	5.474	484
5.500	607	5.525	518
5.550	578	5.576	552
5.601	561	5.627	588
5.651	528	5.677	623
5.703	497	5.728	655
5.753	470	5.778	681
5.804	448	5.830	705
5.854	429	5.880	722
5.905	413	5.931	727
5.956	413	5.981	723
6.007	414	6.032	716
6.057	423	6.083	701
6.108	437	6.134	678
6.158	463	6.184	650
6.210	486	6.235	616
6.260	506	6.285	581
6.311	535	6.336	547
6.361	563	6.387	514
6.412	591	6.438	482
6.462	617	6.488	458
6.514	637	6.539	438
6.564	651	6.589	425
6.615	655	6.641	427
6.665	661	6.691	436
6.716	653	6.742	446
6.767	642	6.792	469
6.818	625	6.843	491
6.868	602	6.894	523
6.919	577	6.945	556
6.969	546	6.995	592
7.021	520	7.046	626
7.071	488	7.096	656
7.122	466	7.147	683
7.172	444	7.198	704
7.223	428	7.249	719
7.273	419	7.299	718
7.325	413	7.350	722
7.375	419	7.400	713
7.426	428	7.452	696
7.476	443	7.502	674
7.527	469	7.553	647
7.578	487	7.603	612
7.629	514	7.654	579
7.679	547	7.705	547
7.730	574	7.756	510
7.780	601	7.806	478
7.832	616	7.857	459
7.882	640	7.907	441
7.933	652	7.959	427
7.983	658	8.009	428
8.034	661	8.060	430
8.084	650	8.110	447
8.136	637	8.161	466
8.186	617	8.211	496
8.237	592	8.263	533
8.287	568	8.313	559
8.338	542	8.364	593
8.389	514	8.414	626
8.440	485	8.465	658
8.490	459	8.516	685
8.541	445	8.567	705
