#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:07:12 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	548	0.051	401
0.075	549	0.101	401
0.127	547	0.152	399
0.177	553	0.202	402
0.228	556	0.254	402
0.278	544	0.304	401
0.329	548	0.355	398
0.380	550	0.405	404
0.431	548	0.456	404
0.481	549	0.507	396
0.532	549	0.558	409
0.582	551	0.608	408
0.634	548	0.659	414
0.684	550	0.709	441
0.735	554	0.760	471
0.785	547	0.811	506
0.836	550	0.862	542
0.886	548	0.912	576
0.938	554	0.963	611
0.988	549	1.013	650
1.039	552	1.065	673
1.089	555	1.115	696
1.140	556	1.166	712
1.191	559	1.216	717
1.242	560	1.267	713
1.293	562	1.318	706
1.343	564	1.369	688
1.394	564	1.419	665
1.445	567	1.470	637
1.496	569	1.520	605
1.546	569	1.572	568
1.597	567	1.622	533
1.647	567	1.673	498
1.698	561	1.723	472
1.749	559	1.774	442
1.800	561	1.824	423
1.850	559	1.876	412
1.901	549	1.926	404
1.951	546	1.977	419
2.003	542	2.027	426
2.053	538	2.078	446
2.104	537	2.129	468
2.154	533	2.180	497
2.205	538	2.230	526
2.256	531	2.281	566
2.307	526	2.331	599
2.357	530	2.383	628
2.408	536	2.433	660
2.458	540	2.484	688
2.509	546	2.534	700
2.560	553	2.585	713
2.611	558	2.635	711
2.661	562	2.687	699
2.712	571	2.737	693
2.762	575	2.788	669
2.814	579	2.838	645
2.864	583	2.889	616
2.915	583	2.940	582
2.965	584	2.991	547
3.016	585	3.041	514
3.067	579	3.092	483
3.118	576	3.142	456
3.168	573	3.194	436
3.219	562	3.244	425
3.269	555	3.295	414
3.320	547	3.345	414
3.371	541	3.396	420
3.422	532	3.446	439
3.472	528	3.498	462
3.523	518	3.548	486
3.573	520	3.599	518
3.625	517	3.649	552
3.675	511	3.700	584
3.726	516	3.751	615
3.776	525	3.802	646
3.827	525	3.852	669
3.878	532	3.903	687
3.929	543	3.953	702
3.979	552	4.005	701
4.030	561	4.055	701
4.080	574	4.106	692
4.132	583	4.156	677
4.182	590	4.207	649
4.233	601	4.258	623
4.283	600	4.309	595
4.334	601	4.360	558
4.384	604	4.410	528
4.436	599	4.461	497
4.486	589	4.511	472
4.537	578	4.563	450
4.587	578	4.613	433
4.638	558	4.664	424
4.689	549	4.714	422
4.740	540	4.765	428
4.790	528	4.816	439
4.841	521	4.867	450
4.891	510	4.917	480
4.943	503	4.968	507
4.993	498	5.018	541
5.044	498	5.069	569
5.094	494	5.120	602
5.145	505	5.171	630
5.195	512	5.221	654
5.247	528	5.272	673
5.297	525	5.322	687
5.348	549	5.374	693
5.398	560	5.424	692
5.449	573	5.475	686
5.500	588	5.525	675
5.551	598	5.576	654
5.601	608	5.627	629
5.652	612	5.678	604
5.702	622	5.728	573
5.754	614	5.779	545
5.804	613	5.829	513
5.855	610	5.880	487
5.905	597	5.931	465
5.956	586	5.982	449
6.006	571	6.032	436
6.058	557	6.083	433
6.108	545	6.133	434
6.159	530	6.185	437
6.209	513	6.235	459
6.260	501	6.286	477
6.311	493	6.336	510
6.362	487	6.387	530
6.412	483	6.438	558
6.463	485	6.489	588
6.513	489	6.539	614
6.565	500	6.590	644
6.615	508	6.640	658
6.666	514	6.692	672
6.716	538	6.742	680
6.767	559	6.793	681
6.817	577	6.843	679
6.869	586	6.894	670
6.919	601	6.944	657
6.970	614	6.996	634
7.020	619	7.046	613
7.071	625	7.097	586
7.122	628	7.147	559
7.173	629	7.198	531
7.223	617	7.249	504
7.274	612	7.300	483
7.324	588	7.350	465
7.376	583	7.401	453
7.426	570	7.451	447
7.477	541	7.503	449
7.527	532	7.553	452
7.578	507	7.604	468
7.628	498	7.654	482
7.680	484	7.705	500
7.730	475	7.755	523
7.781	471	7.807	553
7.831	475	7.857	576
7.882	474	7.908	599
7.933	483	7.958	621
7.984	500	8.009	644
8.034	508	8.060	656
8.085	523	8.111	664
8.135	549	8.161	671
8.187	561	8.212	669
8.237	594	8.262	661
8.288	603	8.314	650
8.338	618	8.364	632
8.389	635	8.415	612
8.439	639	8.465	589
8.491	645	8.516	560
8.541	642	8.566	537
8.592	636	8.618	520
8.642	626	8.668	498
8.693	614	8.719	483
8.744	595	8.769	470
8.795	571	8.820	462
8.845	554	8.871	459
8.896	540	8.922	462
8.946	517	8.972	471
8.998	491	9.023	484
9.048	471	9.073	498
9.099	464	9.125	519
9.149	456	9.175	549
9.200	459	9.226	564
9.250	462	9.276	582
9.302	470	9.327	605
9.352	481	9.377	623
9.403	496	9.429	641
9.453	514	9.479	651
9.504	536	9.530	656
9.555	558	9.580	660
9.606	580	9.631	653
9.656	599	9.682	643
9.707	623	9.733	630
9.757	635	9.783	610
9.809	648	9.834	593
9.859	654	9.884	575
9.910	655	9.936	554
9.960	650	9.986	536
10.011	641	10.037	518
10.061	623	10.087	493
10.113	608	10.138	487
10.163	588	10.188	479
10.214	564	10.240	475
10.264	543	10.290	476
10.315	519	10.341	481
10.366	502	10.391	487
10.417	472	10.442	502
10.468	464	10.493	523
10.518	452	10.544	536
