#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:07:12 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.206	580	13.231	496
13.256	580	13.281	483
13.307	580	13.333	485
13.357	580	13.383	483
13.408	580	13.434	485
13.459	580	13.484	496
13.510	586	13.535	502
13.560	580	13.586	509
13.611	580	13.637	532
13.661	581	13.687	549
13.713	581	13.738	566
13.763	579	13.788	583
13.814	580	13.840	600
13.864	582	13.890	614
13.915	587	13.941	626
13.965	582	13.991	635
14.017	583	14.042	647
14.067	582	14.092	642
14.118	579	14.144	642
14.168	582	14.194	635
14.219	587	14.245	614
14.270	580	14.295	607
14.321	581	14.346	592
14.371	578	14.397	575
14.422	581	14.448	557
14.472	587	14.498	540
14.524	574	14.549	524
14.574	581	14.599	509
14.625	578	14.651	496
14.675	583	14.701	488
14.726	580	14.752	485
14.776	581	14.802	485
14.828	580	14.853	483
14.878	580	14.903	493
14.929	581	14.955	502
14.979	579	15.005	519
15.030	580	15.056	538
15.081	581	15.106	554
15.132	579	15.157	571
15.182	580	15.208	585
15.233	574	15.259	603
15.283	592	15.309	615
15.335	577	15.360	627
15.385	582	15.410	635
15.436	584	15.462	640
15.486	581	15.512	641
15.537	581	15.563	633
15.587	581	15.613	623
15.639	583	15.664	616
15.689	580	15.714	600
15.740	581	15.766	589
15.790	578	15.816	573
15.841	575	15.867	555
15.892	570	15.917	538
15.943	583	15.968	523
15.993	581	16.019	508
16.044	577	16.070	497
16.094	585	16.120	491
16.146	576	16.171	483
16.196	579	16.221	483
16.247	581	16.273	483
16.297	581	16.323	500
16.348	581	16.374	507
16.399	581	16.424	525
16.450	579	16.475	529
16.500	579	16.525	552
16.551	581	16.577	569
16.601	582	16.627	586
16.652	579	16.678	602
16.703	587	16.728	614
16.754	582	16.779	626
16.804	581	16.830	633
16.855	580	16.881	637
16.905	578	16.931	635
16.957	579	16.982	636
17.007	576	17.032	622
17.058	580	17.084	618
17.108	582	17.134	607
17.159	582	17.185	585
17.210	581	17.235	572
17.261	582	17.286	556
17.311	577	17.336	534
17.362	578	17.388	518
17.412	584	17.438	508
17.463	585	17.489	497
17.514	584	17.539	491
17.565	584	17.590	487
17.616	583	17.641	487
17.666	581	17.692	492
17.717	587	17.742	501
17.768	581	17.793	505
