#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:07:12 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.204	662	13.230	469
13.256	650	13.281	478
13.306	650	13.331	495
13.357	630	13.383	513
13.407	611	13.433	541
13.458	586	13.484	559
13.509	560	13.534	586
13.560	535	13.585	615
13.610	510	13.635	642
13.661	487	13.687	667
13.711	466	13.737	688
13.762	453	13.788	700
13.813	443	13.838	703
13.864	440	13.889	704
13.915	441	13.940	697
13.965	450	13.991	685
14.016	462	14.041	668
14.067	475	14.092	644
14.118	498	14.142	621
14.168	524	14.194	593
14.219	551	14.244	566
14.269	577	14.295	545
14.321	598	14.345	512
14.371	623	14.396	491
14.422	638	14.446	482
14.472	650	14.498	465
14.523	657	14.548	468
14.573	657	14.599	473
14.625	651	14.649	482
14.675	639	14.700	498
14.726	620	14.751	518
14.776	606	14.802	542
14.827	578	14.852	568
14.878	550	14.903	596
14.929	531	14.953	623
14.979	506	15.005	648
15.030	482	15.055	669
15.080	464	15.106	687
15.132	450	15.156	692
15.182	442	15.207	699
15.233	442	15.258	702
15.283	442	15.309	696
15.334	452	15.359	682
15.384	467	15.410	663
15.436	484	15.460	642
15.486	505	15.511	618
15.537	535	15.562	589
15.587	553	15.613	562
15.638	579	15.663	537
15.689	603	15.714	507
15.740	624	15.764	488
15.790	642	15.816	480
15.841	650	15.866	467
15.891	656	15.917	466
15.943	654	15.967	474
15.993	646	16.018	483
16.044	636	16.069	496
16.094	618	16.120	521
16.145	591	16.170	553
16.195	578	16.221	572
16.247	548	16.271	599
16.297	529	16.322	625
16.348	495	16.373	650
16.398	476	16.424	669
16.449	462	16.474	685
16.500	449	16.525	699
16.551	441	16.575	701
16.601	441	16.627	705
16.652	445	16.677	693
16.702	455	16.728	685
16.754	464	16.778	663
16.804	488	16.829	635
16.855	513	16.880	613
16.905	542	16.931	584
16.956	561	16.982	558
17.006	587	17.032	539
17.058	616	17.083	510
17.108	626	17.133	494
17.159	638	17.185	481
17.209	655	17.235	474
17.260	654	17.286	474
17.311	652	17.336	478
17.362	644	17.387	492
17.412	633	17.438	510
17.463	613	17.489	530
17.513	592	17.539	550
17.565	569	17.590	577
17.615	545	17.640	605
17.666	518	17.692	628
17.716	497	17.742	652
17.767	473	17.793	666
17.818	458	17.843	686
17.869	446	17.894	695
17.919	445	17.944	698
17.970	438	17.996	695
18.020	449	18.046	687
18.071	459	18.097	675
18.122	475	18.147	649
18.173	494	18.198	627
18.223	517	18.249	607
18.274	541	18.300	583
18.324	567	18.350	553
18.376	590	18.401	534
18.426	609	18.451	501
18.477	630	18.503	494
18.527	645	18.553	486
18.578	656	18.604	477
18.629	646	18.654	473
18.680	653	18.705	482
18.730	640	18.755	491
18.781	623	18.807	515
18.831	606	18.857	528
18.882	587	18.908	557
18.933	564	18.958	581
18.984	538	19.009	603
19.034	514	19.060	628
19.085	492	19.111	652
19.135	476	19.161	674
19.187	456	19.212	685
19.237	452	19.262	694
19.288	442	19.314	697
19.338	441	19.364	691
19.389	448	19.415	684
19.440	460	19.465	671
19.491	482	19.516	650
19.541	501	19.566	632
19.592	524	19.618	603
19.642	548	19.668	577
19.693	569	19.719	553
19.744	594	19.769	523
19.795	615	19.820	512
19.845	631	19.871	497
19.896	636	19.922	482
19.946	649	19.972	478
19.998	656	20.023	478
20.048	642	20.073	486
20.099	636	20.125	499
20.149	619	20.175	515
20.200	604	20.226	536
20.251	589	20.276	561
20.302	555	20.327	585
20.352	533	20.378	613
20.403	509	20.429	632
20.453	491	20.479	656
20.504	470	20.530	669
20.555	457	20.580	687
20.606	448	20.631	692
20.657	439	20.682	697
20.707	453	20.733	691
