#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.204	534	13.230	551
13.255	509	13.281	536
13.306	492	13.331	513
13.357	467	13.382	494
13.407	452	13.433	481
13.458	434	13.484	469
13.508	432	13.534	468
13.560	431	13.585	466
13.610	440	13.635	472
13.661	443	13.687	488
13.711	455	13.737	503
13.762	471	13.788	525
13.813	492	13.838	537
13.864	515	13.889	575
13.914	537	13.939	589
13.965	562	13.991	618
14.015	583	14.041	641
14.066	596	14.092	660
14.117	616	14.142	673
14.168	630	14.193	681
14.219	644	14.244	687
14.269	641	14.295	687
14.320	635	14.345	679
14.371	626	14.396	669
14.422	613	14.446	653
14.472	600	14.498	631
14.523	577	14.548	607
14.573	556	14.599	587
14.625	532	14.649	565
14.675	507	14.700	531
14.726	486	14.750	513
14.776	468	14.802	494
14.827	452	14.852	480
14.877	435	14.903	473
14.929	431	14.953	468
14.979	434	15.004	469
15.030	430	15.055	475
15.080	442	15.106	494
15.131	457	15.156	505
15.182	472	15.207	521
15.233	498	15.257	544
15.283	517	15.309	574
15.334	540	15.359	598
15.384	561	15.410	621
15.436	584	15.460	639
15.486	603	15.511	659
15.537	617	15.562	673
15.587	625	15.613	679
15.638	631	15.663	686
15.688	638	15.714	684
15.740	634	15.764	678
15.790	625	15.815	664
15.841	614	15.866	648
15.891	593	15.917	628
15.942	577	15.967	606
15.993	557	16.018	577
16.044	529	16.068	560
16.094	507	16.120	533
16.145	484	16.170	518
16.195	464	16.221	496
16.247	452	16.271	481
16.297	440	16.322	473
16.348	437	16.373	467
16.398	433	16.424	471
16.449	442	16.474	479
16.499	441	16.525	491
16.551	460	16.575	508
16.601	476	16.626	526
16.652	493	16.677	549
16.702	519	16.728	573
16.753	541	16.778	594
16.804	565	16.829	618
16.855	585	16.879	640
16.905	598	16.931	656
16.956	614	16.981	671
17.006	629	17.032	683
17.058	634	17.082	684
17.108	635	17.133	682
17.159	628	17.184	674
17.209	621	17.235	660
17.260	619	17.286	642
17.310	587	17.336	626
17.362	572	17.387	602
17.412	549	17.437	580
17.463	528	17.489	556
17.513	504	17.539	539
17.564	483	17.590	514
17.615	465	17.640	496
17.666	450	17.691	482
17.716	442	17.742	474
17.767	438	17.793	471
17.817	430	17.843	479
17.869	438	17.894	481
17.919	446	17.944	497
17.970	455	17.996	511
18.020	476	18.046	530
18.071	504	18.097	551
18.122	521	18.147	569
18.173	543	18.198	598
18.223	564	18.248	622
18.274	586	18.300	639
18.324	604	18.350	663
18.375	619	18.401	667
18.426	630	18.451	679
18.477	634	18.502	681
18.527	640	18.553	677
18.578	631	18.604	671
18.628	614	18.654	658
18.680	606	18.705	643
18.730	581	18.755	625
18.781	566	18.807	600
18.831	551	18.857	576
18.882	524	18.908	552
18.933	501	18.958	537
18.984	482	19.009	515
19.034	463	19.059	497
19.085	450	19.111	485
19.135	440	19.161	470
19.186	437	19.212	474
19.237	435	19.262	472
19.288	440	19.313	477
19.338	458	19.364	497
19.389	466	19.415	513
19.439	481	19.465	530
19.491	504	19.516	549
19.541	524	19.566	576
19.592	545	19.618	599
19.642	568	19.668	623
19.693	589	19.719	642
19.744	605	19.769	652
19.795	618	19.820	669
19.845	629	19.870	671
19.896	633	19.922	680
19.946	633	19.972	676
19.997	627	20.023	669
20.048	616	20.073	656
20.099	604	20.124	639
20.149	583	20.175	622
20.200	567	20.226	600
20.250	543	20.276	577
20.302	522	20.327	556
20.352	496	20.377	534
20.403	480	20.429	508
20.453	467	20.479	495
20.504	450	20.530	485
20.555	441	20.580	480
20.606	438	20.631	476
20.656	441	20.682	478
20.707	443	20.733	488
20.757	458	20.783	497
20.808	469	20.834	515
20.859	487	20.884	534
20.910	506	20.935	554
20.961	522	20.986	586
21.011	549	21.037	601
21.062	567	21.087	624
21.113	588	21.138	640
21.164	605	21.188	651
21.214	617	21.240	664
21.265	626	21.290	673
21.315	628	21.341	681
21.367	630	21.391	675
21.417	625	21.442	670
21.468	604	21.493	655
21.518	602	21.544	639
21.569	577	21.594	618
21.619	555	21.645	598
21.671	541	21.695	579
21.721	511	21.746	552
21.772	498	21.797	530
21.822	480	21.848	511
21.873	463	21.898	497
21.924	450	21.949	486
21.975	442	21.999	481
22.025	439	22.051	475
22.076	439	22.101	478
22.126	446	22.152	489
22.178	454	22.202	501
22.228	476	22.253	517
22.279	483	22.304	541
22.329	510	22.355	558
22.380	529	22.405	580
22.430	551	22.456	605
22.482	566	22.506	623
22.532	590	22.557	642
22.583	605	22.608	651
22.633	618	22.659	669
22.684	625	22.709	675
22.735	629	22.760	673
22.786	628	22.810	675
22.836	622	22.862	663
22.887	612	22.912	652
22.937	595	22.963	635
22.989	582	23.013	616
23.039	565	23.064	595
23.090	539	23.115	572
23.140	520	23.166	554
23.191	494	23.216	526
23.242	479	23.267	511
23.293	463	23.317	496
23.343	451	23.368	488
23.394	444	23.419	477
23.444	440	23.470	486
23.495	440	23.520	481
23.546	445	23.571	491
23.597	458	23.621	503
23.647	480	23.673	517
23.698	485	23.723	539
23.748	513	23.774	559
23.800	522	23.824	581
23.850	556	23.875	602
23.901	571	23.926	624
23.951	585	23.977	643
24.002	605	24.028	654
24.053	620	24.078	667
24.104	624	24.129	674
24.154	627	24.179	676
24.205	625	24.231	678
24.255	619	24.281	668
24.306	608	24.332	645
24.357	594	24.382	632
24.408	579	24.433	614
24.458	550	24.484	594
24.509	540	24.535	571
24.559	513	24.585	551
24.611	490	24.636	529
24.661	479	24.686	512
24.712	468	24.738	497
24.762	451	24.788	485
24.813	444	24.839	478
24.864	441	24.889	473
24.915	443	24.940	483
24.965	449	24.990	496
25.016	462	25.042	505
25.066	477	25.092	518
25.117	497	25.143	541
25.168	511	25.193	562
25.219	532	25.244	583
25.269	550	25.295	605
25.320	573	25.346	620
25.370	590	25.396	636
25.422	607	25.447	656
25.472	617	25.497	667
25.523	622	25.549	672
25.573	628	25.599	676
25.624	623	25.650	674
25.675	615	25.700	660
25.726	606	25.751	645
25.776	590	25.802	631
25.827	573	25.853	614
25.877	550	25.903	588
25.928	537	25.954	569
25.979	513	26.004	549
26.030	499	26.055	522
26.080	473	26.106	512
