#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:07:12 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.205	582	13.230	635
13.255	581	13.281	638
13.307	582	13.331	631
13.357	580	13.382	629
13.408	581	13.432	619
13.458	581	13.484	611
13.509	586	13.534	595
13.559	585	13.585	575
13.611	582	13.635	559
13.661	583	13.686	543
13.712	581	13.737	527
13.762	582	13.788	513
13.813	578	13.838	502
13.864	577	13.889	493
13.915	580	13.939	487
13.965	580	13.991	482
14.016	580	14.041	490
14.066	581	14.092	495
14.118	580	14.142	502
14.168	582	14.193	520
14.219	581	14.244	530
14.269	574	14.295	548
14.320	580	14.345	564
14.370	580	14.396	581
14.422	580	14.446	597
14.472	587	14.497	611
14.523	585	14.548	622
14.573	586	14.599	631
14.624	574	14.649	634
14.675	581	14.700	635
14.726	580	14.750	633
14.776	581	14.802	629
14.827	581	14.852	618
14.877	581	14.903	604
14.929	581	14.953	587
14.979	581	15.004	579
15.030	581	15.055	557
15.080	579	15.106	542
15.131	582	15.156	528
15.181	580	15.207	513
15.233	579	15.257	501
15.283	583	15.308	493
15.334	589	15.359	489
15.384	579	15.410	488
15.435	581	15.460	492
15.486	580	15.511	497
15.537	581	15.561	505
15.587	579	15.613	524
15.638	581	15.663	534
15.688	576	15.714	542
15.740	580	15.764	564
15.790	581	15.815	585
15.841	582	15.866	597
15.891	576	15.917	611
15.942	586	15.968	623
15.992	585	16.018	629
16.044	574	16.069	634
16.094	585	16.119	634
16.145	583	16.171	636
16.195	581	16.221	627
16.246	581	16.272	609
16.297	580	16.322	601
16.348	581	16.373	589
16.398	580	16.424	565
16.449	582	16.475	560
16.499	582	16.525	539
16.551	580	16.576	522
16.601	581	16.626	512
16.652	582	16.678	502
16.702	578	16.728	493
16.753	578	16.779	490
16.804	577	16.829	489
16.855	583	16.880	494
16.905	582	16.930	498
16.956	582	16.982	510
17.006	580	17.032	519
17.057	581	17.083	533
17.108	580	17.133	547
17.159	581	17.184	563
17.209	580	17.235	583
17.260	581	17.286	600
17.310	582	17.336	611
17.362	579	17.387	620
17.412	581	17.437	628
17.463	583	17.489	635
17.513	584	17.539	633
17.564	579	17.590	630
17.615	577	17.640	621
17.666	580	17.691	612
17.716	580	17.741	601
17.767	578	17.793	586
17.817	578	17.843	563
17.868	579	17.894	546
17.919	581	17.944	534
17.970	580	17.995	523
18.020	581	18.046	512
18.071	580	18.097	500
18.121	580	18.147	495
18.173	582	18.198	492
18.223	583	18.248	493
18.274	582	18.300	497
18.324	581	18.350	502
18.375	581	18.401	512
18.426	578	18.451	525
18.477	579	18.502	537
18.527	582	18.552	553
18.578	581	18.604	568
18.628	584	18.654	594
18.679	583	18.705	605
18.730	580	18.755	610
18.781	583	18.806	622
18.831	580	18.857	626
18.882	580	18.908	624
18.932	581	18.958	629
18.984	579	19.009	628
19.034	578	19.059	620
19.085	585	19.111	614
19.135	581	19.161	598
19.186	580	19.212	585
19.237	578	19.262	564
19.288	581	19.313	554
19.338	584	19.364	537
19.389	580	19.415	523
19.439	580	19.465	508
19.490	580	19.516	499
19.541	581	19.566	494
19.592	581	19.617	495
19.643	581	19.668	493
19.693	580	19.719	494
19.744	577	19.769	504
19.795	579	19.820	515
19.846	574	19.870	534
19.896	581	19.922	541
19.947	576	19.972	550
19.997	579	20.023	570
20.049	580	20.073	582
20.099	580	20.124	600
20.150	584	20.175	619
20.200	581	20.226	624
20.251	580	20.276	625
20.301	580	20.327	629
