#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:07:12 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	584	0.051	681
0.075	584	0.101	674
0.127	577	0.152	680
0.177	583	0.202	673
0.228	578	0.254	662
0.278	584	0.304	645
0.329	579	0.355	622
0.380	588	0.405	596
0.431	584	0.456	567
0.481	582	0.507	539
0.532	583	0.558	514
0.582	581	0.608	482
0.634	583	0.659	457
0.684	576	0.709	443
0.735	582	0.760	433
0.785	585	0.811	430
0.836	582	0.862	425
0.886	582	0.912	439
0.938	583	0.963	447
0.988	577	1.013	463
1.039	585	1.065	484
1.089	580	1.115	507
1.140	580	1.166	537
1.191	578	1.216	564
1.242	589	1.267	591
1.292	579	1.318	615
1.343	582	1.369	635
1.393	582	1.419	649
1.445	584	1.470	664
1.495	582	1.520	669
1.546	581	1.571	665
1.596	582	1.622	663
1.647	585	1.673	647
1.697	581	1.723	631
1.749	585	1.774	612
1.799	579	1.824	589
1.850	587	1.876	562
1.900	580	1.926	535
1.951	584	1.977	513
2.002	589	2.027	492
2.053	584	2.078	469
2.103	582	2.129	446
2.154	582	2.180	442
2.204	582	2.230	434
2.256	583	2.281	436
2.306	583	2.331	447
2.357	581	2.383	446
2.407	582	2.433	465
2.458	583	2.484	485
2.508	582	2.534	511
2.560	584	2.585	537
2.610	583	2.635	561
2.661	578	2.687	586
2.711	581	2.737	607
2.762	583	2.788	633
2.813	581	2.838	646
2.864	573	2.889	656
2.914	583	2.940	663
2.965	582	2.991	663
3.015	583	3.041	655
3.067	580	3.092	641
3.117	582	3.142	630
3.168	583	3.194	610
3.218	582	3.244	590
3.269	583	3.295	563
3.319	589	3.345	541
3.371	583	3.396	514
3.421	583	3.446	491
3.472	582	3.498	470
3.522	586	3.548	456
3.573	589	3.599	446
3.624	585	3.649	440
3.675	583	3.700	438
3.725	581	3.751	451
3.776	583	3.802	463
3.826	581	3.852	470
3.878	582	3.903	492
3.928	578	3.953	509
3.979	585	4.005	538
4.029	582	4.055	562
4.080	581	4.106	584
4.130	581	4.156	607
4.182	589	4.207	627
4.232	589	4.257	642
4.283	582	4.309	651
4.333	575	4.359	657
4.384	579	4.410	657
4.435	577	4.460	652
4.486	581	4.511	639
4.536	583	4.562	622
4.587	582	4.613	604
4.637	582	4.663	587
4.689	589	4.714	570
4.739	582	4.764	538
4.790	584	4.816	515
4.840	582	4.866	495
4.891	585	4.917	473
4.941	587	4.967	462
4.993	578	5.018	449
5.043	586	5.068	447
5.094	586	5.120	452
5.144	583	5.170	446
5.195	587	5.221	462
5.246	581	5.271	475
5.297	581	5.322	492
5.347	581	5.373	509
5.398	582	5.424	541
5.448	584	5.474	567
5.500	582	5.525	580
5.550	582	5.575	605
5.601	591	5.627	623
5.651	583	5.677	638
5.702	584	5.728	648
5.752	582	5.778	653
5.804	581	5.829	654
5.854	586	5.879	647
5.905	582	5.931	637
5.955	582	5.981	624
6.006	583	6.032	604
6.057	583	6.082	581
6.108	583	6.133	564
6.159	582	6.184	529
6.209	582	6.235	516
6.260	583	6.285	497
6.311	582	6.336	480
6.362	580	6.386	467
6.412	584	6.438	456
6.463	587	6.488	450
6.513	581	6.539	451
6.565	583	6.589	457
6.615	580	6.640	469
6.666	579	6.690	483
6.716	583	6.742	497
6.767	582	6.792	517
6.817	582	6.843	539
6.869	580	6.893	559
6.919	582	6.944	581
6.970	576	6.995	597
7.020	582	7.046	615
7.071	582	7.096	631
7.122	585	7.147	643
7.173	582	7.197	643
7.223	585	7.249	646
7.274	590	7.299	642
7.324	586	7.350	632
7.376	585	7.400	619
7.426	584	7.451	601
7.477	577	7.501	584
7.527	582	7.553	563
7.578	583	7.603	542
7.628	581	7.654	527
7.680	582	7.704	501
7.730	582	7.755	480
7.781	583	7.806	467
7.831	584	7.857	459
7.882	576	7.907	456
7.933	583	7.958	455
7.984	582	8.008	461
8.034	577	8.060	471
8.085	577	8.110	484
8.135	581	8.161	505
8.187	581	8.211	519
8.237	585	8.262	540
8.288	581	8.312	559
8.338	582	8.364	587
8.389	576	8.414	602
8.439	582	8.465	616
8.491	583	8.515	635
8.541	583	8.566	638
8.592	583	8.617	646
8.642	581	8.668	644
8.693	583	8.718	637
8.744	582	8.769	630
8.795	582	8.819	617
8.845	583	8.871	597
8.896	582	8.921	581
8.946	580	8.972	561
8.998	587	9.022	540
9.048	584	9.073	516
9.099	580	9.123	504
9.149	582	9.175	485
9.200	581	9.226	475
9.250	583	9.276	468
9.302	583	9.327	455
9.352	583	9.377	460
9.403	583	9.429	466
9.453	582	9.479	474
9.504	582	9.530	488
9.555	584	9.580	504
9.606	585	9.631	521
9.656	579	9.682	542
9.707	580	9.733	562
9.757	584	9.783	581
9.809	583	9.834	599
9.859	585	9.884	614
9.910	583	9.936	626
9.960	583	9.986	630
10.011	585	10.037	634
10.061	583	10.087	634
10.113	582	10.138	628
10.163	585	10.188	626
10.214	582	10.240	614
10.264	580	10.290	598
10.315	588	10.341	580
10.366	578	10.391	559
10.417	581	10.442	542
10.467	578	10.493	520
10.518	584	10.544	505
10.568	583	10.594	485
10.620	582	10.645	478
10.670	577	10.695	467
10.721	581	10.747	461
10.771	581	10.797	466
10.822	582	10.848	466
10.872	582	10.898	477
10.924	587	10.949	491
10.974	582	10.999	505
11.025	583	11.051	522
11.075	579	11.101	542
11.126	584	11.152	561
11.177	585	11.202	581
11.228	580	11.253	598
11.278	582	11.304	614
11.329	582	11.355	621
11.379	582	11.405	632
11.431	584	11.456	636
11.481	582	11.506	640
11.532	583	11.558	632
11.582	582	11.608	623
11.633	583	11.659	604
11.683	585	11.709	594
11.735	583	11.760	578
11.785	580	11.810	560
11.836	580	11.862	540
11.886	590	11.912	522
11.937	576	11.963	501
11.988	576	12.013	492
12.039	583	12.064	479
12.089	583	12.115	472
12.140	581	12.166	466
12.190	582	12.216	469
12.242	581	12.267	475
12.292	583	12.317	480
12.343	582	12.369	496
12.393	583	12.419	506
12.444	583	12.470	524
12.495	576	12.520	544
12.546	586	12.571	561
12.596	578	12.621	579
12.647	584	12.673	596
12.697	589	12.723	612
12.748	577	12.774	623
12.799	583	12.824	628
12.850	584	12.875	631
12.900	582	12.926	632
12.951	580	12.977	631
13.001	584	13.027	614
13.053	583	13.078	601
13.103	582	13.128	590
13.154	582	13.180	576
13.204	582	13.230	548
13.255	585	13.281	542
13.306	582	13.331	524
13.357	582	13.382	508
13.407	581	13.432	494
13.458	583	13.484	483
13.508	584	13.534	475
13.559	580	13.585	472
13.610	579	13.635	471
13.661	581	13.686	480
13.712	582	13.737	486
13.762	581	13.788	497
13.813	581	13.838	519
13.864	582	13.889	531
13.915	586	13.939	546
13.965	583	13.991	562
14.016	583	14.041	582
14.066	580	14.092	594
14.118	579	14.142	605
14.168	583	14.193	618
14.219	581	14.243	625
14.269	581	14.295	630
14.320	590	14.345	628
14.370	582	14.396	625
14.422	582	14.446	616
14.472	580	14.497	603
14.523	583	14.548	583
14.573	582	14.599	574
14.624	582	14.649	557
14.675	581	14.700	544
14.726	583	14.750	515
14.776	582	14.802	511
14.827	583	14.852	495
14.877	583	14.903	486
14.929	585	14.953	479
14.979	586	15.004	476
15.030	577	15.055	477
15.080	581	15.106	481
15.131	582	15.156	487
15.181	581	15.207	505
15.233	582	15.257	510
15.283	583	15.308	527
15.334	583	15.359	543
15.384	583	15.410	571
15.435	578	15.460	577
15.486	583	15.511	594
15.537	586	15.561	607
15.587	581	15.613	616
15.638	581	15.663	626
15.688	584	15.714	626
15.740	581	15.764	625
15.790	581	15.815	624
15.841	580	15.866	613
15.891	582	15.917	600
15.942	584	15.967	591
15.992	583	16.018	570
16.044	583	16.068	564
16.094	583	16.119	542
16.145	583	16.170	527
16.195	581	16.221	507
16.246	582	16.271	499
16.297	583	16.322	488
16.348	585	16.372	481
16.398	583	16.424	478
16.449	581	16.474	475
16.499	581	16.525	485
16.551	580	16.575	489
16.601	587	16.626	501
16.652	577	16.677	516
16.702	581	16.728	532
16.753	583	16.779	551
16.803	580	16.829	559
16.855	583	16.880	576
16.905	583	16.930	593
16.956	580	16.982	608
17.006	583	17.032	614
17.057	583	17.083	618
17.108	584	17.133	624
17.159	576	17.184	622
17.209	579	17.235	618
17.260	577	17.286	611
17.310	584	17.336	598
17.362	585	17.387	587
17.412	578	17.437	574
17.463	582	17.489	557
17.513	582	17.539	541
17.564	582	17.590	527
17.615	582	17.640	515
17.666	582	17.691	502
17.716	584	17.741	487
17.767	581	17.793	483
17.817	584	17.843	481
17.868	581	17.894	479
