#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.024	535	0.050	454
0.076	534	0.101	455
0.126	535	0.151	454
0.177	534	0.203	448
0.227	533	0.253	452
0.278	534	0.304	458
0.329	531	0.354	444
0.380	537	0.405	462
0.430	537	0.456	477
0.481	535	0.507	490
0.531	535	0.557	521
0.583	535	0.608	548
0.633	535	0.658	581
0.684	540	0.710	610
0.734	535	0.760	639
0.785	540	0.811	665
0.835	539	0.861	690
0.887	540	0.912	704
0.937	541	0.962	713
0.988	543	1.014	716
1.038	543	1.064	714
1.089	548	1.115	713
1.140	548	1.165	690
1.191	550	1.216	667
1.241	552	1.267	643
1.292	555	1.318	614
1.342	546	1.368	583
1.394	552	1.419	554
1.444	541	1.469	527
1.495	551	1.521	503
1.545	544	1.571	483
1.596	542	1.622	468
1.646	539	1.672	462
1.698	537	1.723	453
1.749	532	1.773	467
1.799	529	1.825	477
1.850	526	1.875	491
1.900	524	1.926	515
1.952	528	1.976	540
2.002	524	2.027	568
2.053	514	2.078	601
2.103	514	2.129	627
2.154	517	2.179	653
2.205	526	2.230	677
2.256	532	2.280	695
2.306	535	2.332	711
2.357	537	2.382	707
2.407	543	2.433	712
2.459	553	2.483	709
2.509	553	2.534	691
2.560	557	2.584	672
2.610	559	2.636	651
2.661	563	2.686	625
2.711	563	2.737	591
2.763	563	2.787	566
2.813	562	2.838	539
2.864	558	2.889	514
2.914	554	2.940	494
2.965	551	2.990	477
3.016	545	3.041	470
3.067	539	3.091	466
3.117	531	3.143	471
3.168	525	3.193	484
3.218	520	3.244	494
3.270	513	3.294	515
3.320	510	3.345	538
3.371	508	3.395	559
3.421	509	3.447	587
3.472	509	3.497	615
3.522	515	3.548	640
3.574	515	3.598	665
3.624	514	3.649	683
3.675	525	3.700	699
3.725	534	3.751	705
3.776	544	3.801	705
3.827	549	3.852	701
3.878	559	3.902	690
3.928	563	3.954	677
3.979	569	4.004	659
4.029	572	4.055	639
4.081	576	4.105	609
4.131	580	4.156	579
4.182	577	4.206	554
