#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.024	324	0.050	518
0.076	343	0.101	519
0.126	324	0.151	516
0.177	336	0.202	511
0.227	337	0.253	509
0.278	312	0.304	511
0.328	331	0.354	505
0.380	304	0.405	511
0.430	330	0.455	510
0.481	321	0.507	509
0.531	330	0.557	506
0.582	326	0.608	518
0.633	325	0.658	507
0.684	325	0.709	507
0.734	326	0.760	510
0.785	326	0.811	516
0.835	325	0.861	509
0.887	352	0.912	511
0.937	313	0.962	509
0.988	322	1.014	511
1.038	339	1.064	511
1.089	354	1.115	511
1.139	377	1.165	511
1.191	403	1.216	510
1.242	444	1.266	510
1.292	475	1.318	511
1.343	513	1.368	511
1.393	546	1.419	509
1.445	583	1.469	510
1.495	618	1.520	508
1.546	633	1.571	514
1.596	650	1.622	511
1.647	656	1.672	510
1.698	656	1.723	511
1.749	642	1.773	510
1.799	627	1.825	510
1.850	606	1.875	510
1.900	569	1.926	508
1.951	538	1.976	510
2.002	505	2.027	510
2.053	465	2.077	511
2.103	428	2.129	511
2.154	395	2.179	511
2.204	367	2.230	510
2.256	344	2.280	508
2.306	330	2.331	511
2.357	325	2.382	510
2.407	322	2.433	511
2.458	334	2.483	510
2.509	353	2.534	510
2.560	371	2.584	509
2.610	409	2.636	512
2.661	440	2.686	509
2.711	478	2.737	510
2.762	514	2.787	515
2.813	550	2.838	507
2.864	582	2.888	506
2.914	612	2.940	514
2.965	634	2.990	511
3.015	647	3.041	511
3.067	654	3.091	510
3.117	653	3.142	510
3.168	639	3.193	511
3.218	627	3.244	516
3.269	607	3.294	509
3.320	572	3.345	511
3.371	537	3.395	511
3.421	499	3.447	512
3.472	467	3.497	511
3.522	426	3.548	511
3.574	398	3.598	512
3.624	367	3.649	512
3.675	346	3.699	508
3.725	333	3.751	520
3.776	327	3.801	509
3.826	329	3.852	506
3.878	344	3.903	510
3.928	359	3.953	514
3.979	382	4.005	510
4.029	407	4.055	509
4.080	450	4.106	511
4.131	473	4.156	511
4.182	513	4.207	511
4.232	548	4.258	510
4.283	584	4.309	514
4.333	613	4.359	513
4.385	632	4.410	509
4.435	646	4.460	514
4.486	651	4.511	512
4.536	650	4.562	509
4.587	639	4.613	510
4.637	622	4.663	512
4.689	597	4.714	511
4.739	570	4.764	510
4.790	531	4.816	509
4.840	497	4.866	511
4.891	458	4.917	510
4.942	427	4.967	510
4.993	395	5.018	513
5.043	367	5.069	510
5.094	347	5.120	511
5.144	336	5.170	512
5.196	330	5.221	509
5.246	331	5.271	509
5.297	343	5.322	511
5.347	361	5.373	509
5.398	386	5.424	510
5.448	416	5.474	510
5.500	452	5.525	509
5.550	489	5.575	510
5.601	514	5.627	512
5.651	559	5.677	510
5.702	586	5.728	510
5.753	613	5.778	511
5.804	632	5.829	509
5.854	645	5.880	509
5.905	650	5.931	514
5.955	648	5.981	510
6.007	636	6.032	504
6.057	615	6.082	508
6.108	594	6.134	510
6.158	566	6.184	511
6.209	530	6.235	511
6.259	492	6.285	511
6.311	461	6.336	511
6.361	422	6.386	511
6.412	392	6.438	514
6.462	367	6.488	510
6.513	350	6.539	512
6.564	337	6.589	505
6.615	333	6.640	512
6.665	336	6.691	512
6.716	348	6.742	517
6.766	365	6.792	516
6.818	389	6.843	510
6.868	418	6.893	509
6.919	455	6.945	510
6.969	485	6.995	509
7.020	523	7.046	511
7.070	558	7.096	511
7.122	585	7.147	511
7.172	613	7.197	510
7.223	631	7.249	508
7.273	646	7.299	511
7.324	647	7.350	511
7.375	645	7.400	511
7.426	632	7.451	511
7.476	612	7.502	513
7.527	590	7.553	513
7.577	560	7.603	511
7.629	527	7.654	511
7.679	490	7.704	511
7.730	451	7.756	511
7.780	425	7.806	510
7.831	391	7.857	511
7.881	366	7.907	510
7.933	350	7.958	509
7.983	339	8.008	513
8.034	336	8.060	506
8.084	337	8.110	510
8.135	353	8.161	511
8.186	369	8.211	503
8.237	393	8.262	514
8.287	424	8.313	510
8.338	457	8.364	508
8.388	491	8.414	509
8.440	529	8.465	510
8.490	562	8.515	510
8.541	590	8.567	512
8.591	610	8.617	511
8.642	635	8.668	511
8.692	642	8.718	510
8.744	646	8.769	512
8.794	642	8.819	510
8.845	629	8.871	509
8.895	614	8.921	518
8.946	586	8.972	513
8.997	557	9.022	514
9.048	525	9.073	512
9.098	490	9.124	511
9.149	453	9.175	511
9.199	421	9.225	511
9.251	401	9.276	510
9.301	365	9.326	510
9.352	348	9.378	509
9.402	335	9.428	510
9.453	339	9.479	510
9.503	341	9.529	511
9.555	355	9.580	510
9.605	375	9.630	514
9.656	397	9.682	506
9.706	424	9.732	508
9.757	461	9.783	509
9.808	494	9.833	510
9.859	526	9.884	511
9.910	557	9.935	506
9.960	592	9.986	510
10.011	613	10.036	512
10.062	633	10.087	510
10.113	639	10.137	510
10.163	645	10.189	510
10.214	638	10.239	509
10.264	627	10.290	506
10.316	609	10.340	516
10.366	582	10.391	510
10.417	553	10.441	509
10.467	518	10.493	514
10.518	487	10.543	510
10.568	453	10.594	511
10.620	421	10.644	510
10.670	391	10.695	512
10.721	372	10.746	510
10.771	354	10.797	510
10.822	339	10.847	508
10.873	338	10.898	511
10.924	340	10.948	509
10.974	357	11.000	508
11.025	378	11.050	509
11.075	402	11.101	510
11.127	430	11.151	513
11.177	462	11.202	505
11.228	496	11.252	507
11.278	530	11.304	511
11.329	560	11.354	509
11.379	591	11.405	511
11.431	614	11.455	511
11.481	624	11.506	511
11.532	641	11.557	511
11.582	643	11.608	510
11.633	637	11.658	512
11.684	624	11.709	513
11.735	607	11.759	511
11.785	577	11.811	514
11.836	550	11.861	508
11.886	519	11.912	513
11.938	489	11.962	512
11.988	451	12.013	507
12.039	421	12.063	513
12.089	394	12.115	509
12.140	369	12.165	510
12.190	353	12.216	509
12.242	346	12.266	511
12.292	344	12.317	510
12.343	350	12.368	510
12.393	363	12.419	513
12.444	378	12.469	507
12.495	405	12.520	512
12.546	434	12.570	501
12.596	465	12.622	509
12.647	498	12.672	511
12.697	533	12.723	505
12.749	562	12.773	514
12.799	590	12.824	513
12.850	615	12.874	511
12.900	627	12.926	516
12.951	638	12.977	512
13.001	639	13.027	511
13.053	635	13.078	510
13.103	622	13.128	512
13.154	602	13.180	516
13.204	579	13.230	510
13.255	546	13.281	511
13.306	515	13.331	511
13.357	482	13.382	512
13.407	451	13.433	509
13.458	420	13.484	512
13.508	396	13.534	511
13.560	371	13.585	507
13.610	355	13.635	511
13.661	355	13.687	510
13.711	346	13.737	514
13.762	353	13.788	509
13.812	366	13.838	510
13.864	383	13.889	509
13.914	405	13.939	510
13.965	437	13.991	510
14.015	467	14.041	506
14.066	501	14.092	513
14.117	534	14.142	514
14.168	564	14.193	507
14.218	591	14.244	507
14.269	611	14.295	514
14.319	628	14.345	511
14.371	635	14.396	509
14.421	641	14.446	512
14.472	631	14.498	512
14.522	618	14.548	511
14.573	601	14.599	510
14.623	573	14.649	510
14.675	544	14.700	508
14.725	514	14.750	510
14.776	480	14.802	513
14.826	446	14.852	510
14.877	419	14.903	512
14.928	392	14.953	514
14.979	371	15.004	509
15.029	353	15.055	512
15.080	350	15.106	510
15.130	348	15.156	503
15.182	355	15.207	508
15.232	366	15.257	509
15.283	382	15.309	509
15.333	411	15.359	510
15.384	438	15.410	509
15.434	474	15.460	510
15.486	503	15.511	512
15.536	535	15.561	510
15.587	566	15.613	512
15.637	593	15.663	504
15.688	613	15.714	510
15.739	626	15.764	512
15.790	638	15.815	509
15.840	635	15.866	511
15.891	629	15.917	511
15.941	613	15.967	510
15.993	594	16.018	511
16.043	570	16.068	508
16.094	543	16.120	511
16.144	510	16.170	511
16.195	476	16.221	509
16.246	441	16.271	511
16.297	418	16.322	512
16.347	393	16.372	506
16.398	371	16.424	505
16.448	357	16.474	510
16.499	352	16.525	512
16.550	351	16.575	504
16.601	357	16.626	507
16.651	371	16.677	510
16.702	389	16.728	510
16.752	414	16.778	509
16.804	445	16.829	510
16.854	481	16.879	510
16.905	504	16.931	510
16.955	530	16.981	505
17.006	567	17.032	506
17.057	591	17.082	514
