#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:07:12 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	582	0.051	726
0.076	583	0.102	719
0.126	591	0.152	734
0.178	577	0.203	724
0.228	583	0.253	721
0.279	578	0.305	733
0.329	582	0.355	724
0.380	582	0.406	727
0.430	582	0.456	716
0.482	583	0.507	699
0.532	583	0.557	669
0.583	583	0.609	641
0.633	583	0.659	599
0.684	582	0.710	563
0.735	581	0.760	520
0.786	582	0.811	481
0.836	583	0.862	444
0.887	581	0.913	416
0.937	585	0.963	394
0.989	586	1.014	386
1.039	585	1.064	384
1.090	583	1.116	387
1.140	584	1.166	397
1.191	584	1.217	419
1.241	583	1.267	450
1.293	584	1.318	475
1.344	582	1.368	511
1.394	583	1.420	548
1.445	583	1.470	584
1.495	583	1.521	611
1.547	587	1.571	649
1.597	581	1.622	674
1.648	584	1.673	692
1.698	578	1.724	703
1.749	585	1.774	708
1.800	584	1.825	692
1.851	586	1.875	693
1.901	582	1.927	673
1.952	584	1.977	650
2.002	587	2.028	619
2.054	582	2.078	590
2.104	583	2.129	567
2.155	586	2.179	523
2.205	585	2.231	488
2.256	581	2.281	458
2.306	584	2.332	434
2.358	580	2.382	414
2.408	585	2.433	404
2.459	582	2.484	397
2.509	582	2.535	404
2.560	577	2.585	416
2.611	586	2.636	431
2.662	576	2.686	453
2.712	581	2.738	475
2.763	581	2.788	517
2.813	582	2.839	532
2.865	584	2.889	575
2.915	578	2.940	599
2.966	583	2.990	635
3.016	584	3.042	661
3.067	581	3.092	680
3.117	585	3.143	691
3.169	584	3.193	696
3.219	580	3.244	698
3.270	583	3.295	687
3.320	584	3.346	669
3.371	583	3.396	649
3.422	581	3.447	622
3.473	586	3.497	586
3.523	585	3.549	556
3.574	584	3.599	524
3.624	584	3.650	492
3.676	580	3.700	463
3.726	582	3.751	443
3.777	583	3.801	419
3.827	582	3.853	411
3.878	581	3.903	410
3.928	585	3.954	408
3.980	587	4.004	420
4.030	583	4.055	435
4.081	584	4.106	456
4.131	580	4.157	481
4.182	583	4.207	511
4.233	580	4.258	544
4.284	583	4.309	572
4.334	582	4.360	598
4.385	582	4.411	633
4.435	583	4.461	650
4.487	584	4.512	674
4.537	586	4.562	680
4.588	584	4.614	682
4.638	588	4.664	682
4.689	584	4.715	675
4.739	582	4.765	661
4.791	584	4.816	640
4.841	588	4.866	613
4.892	585	4.918	588
4.942	590	4.968	556
4.993	586	5.019	527
5.044	584	5.069	496
5.095	583	5.120	470
5.145	582	5.171	454
5.196	583	5.222	438
5.246	583	5.272	420
5.298	582	5.323	413
5.348	583	5.373	415
5.399	582	5.425	426
5.449	582	5.475	436
5.500	580	5.526	460
5.550	586	5.576	483
5.602	587	5.627	512
5.652	584	5.677	540
5.703	582	5.729	569
5.753	589	5.779	592
5.804	585	5.830	625
5.855	582	5.880	646
5.906	582	5.931	668
5.956	582	5.982	678
6.007	584	6.033	674
6.057	585	6.083	678
6.109	585	6.134	671
6.159	583	6.184	658
6.210	586	6.236	642
6.260	583	6.286	612
6.311	584	6.337	586
6.361	579	6.387	556
6.413	589	6.438	528
6.463	580	6.488	500
6.514	582	6.540	474
6.564	585	6.590	451
6.615	583	6.641	436
6.666	583	6.691	418
6.717	583	6.742	416
6.767	581	6.793	429
6.818	581	6.844	430
6.868	582	6.894	447
6.920	581	6.945	458
6.970	583	6.995	480
7.021	581	7.047	514
7.071	581	7.097	540
7.122	581	7.148	565
7.172	576	7.198	593
7.224	583	7.249	617
7.274	589	7.299	638
7.325	581	7.351	654
7.375	584	7.401	666
7.426	588	7.452	668
