#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	491	0.051	507
0.076	491	0.101	510
0.127	496	0.153	506
0.177	500	0.203	510
0.228	506	0.254	509
0.280	512	0.304	509
0.330	517	0.355	506
0.381	525	0.406	511
0.431	525	0.457	509
0.482	530	0.507	508
0.532	533	0.558	506
0.584	536	0.608	509
0.634	538	0.659	510
0.685	538	0.710	508
0.735	537	0.761	516
0.786	537	0.811	509
0.837	529	0.862	513
0.888	530	0.912	510
0.938	526	0.964	509
0.989	515	1.014	510
1.039	519	1.065	506
1.091	503	1.115	514
1.141	501	1.166	504
1.192	499	1.217	510
1.242	496	1.268	509
1.293	493	1.318	510
1.343	491	1.369	509
1.395	492	1.419	510
1.445	493	1.470	503
1.496	495	1.521	511
1.546	497	1.572	510
1.597	502	1.622	509
1.648	507	1.673	511
1.699	509	1.723	514
1.749	516	1.775	510
1.800	523	1.825	509
1.850	526	1.876	510
1.902	530	1.926	509
1.952	533	1.977	511
2.003	535	2.028	509
2.053	537	2.079	506
2.104	535	2.129	508
2.155	536	2.180	509
2.206	531	2.230	508
2.256	532	2.281	508
2.307	527	2.332	508
2.357	520	2.383	509
2.408	517	2.433	511
2.459	510	2.484	509
2.510	501	2.534	510
2.560	502	2.586	511
2.611	501	2.636	516
2.661	495	2.687	510
2.713	493	2.737	510
2.763	492	2.788	509
2.814	491	2.839	508
2.864	494	2.890	507
2.915	495	2.941	509
2.966	498	2.991	510
3.017	505	3.042	513
3.067	509	3.092	509
3.118	511	3.144	509
3.168	516	3.194	510
3.219	519	3.245	510
3.270	525	3.295	510
3.321	528	3.346	510
3.371	533	3.397	507
3.422	526	3.448	507
3.472	536	3.498	509
3.524	541	3.549	508
3.574	533	3.599	507
3.625	534	3.651	506
3.675	529	3.701	514
3.726	537	3.752	509
3.777	539	3.802	512
3.828	573	3.853	508
3.878	591	3.903	511
3.929	610	3.955	509
3.979	636	4.005	510
4.030	648	4.056	510
4.081	697	4.106	510
4.132	689	4.157	511
4.182	725	4.208	510
4.233	712	4.259	501
4.283	729	4.309	510
4.335	717	4.360	509
4.385	739	4.410	506
4.436	715	4.462	512
4.486	714	4.512	513
4.537	705	4.563	514
4.588	707	4.613	507
4.639	708	4.664	512
4.689	684	4.715	515
4.740	717	4.766	509
4.790	734	4.816	512
4.841	696	4.867	509
4.892	708	4.917	509
4.943	711	4.968	510
4.993	699	5.019	517
5.044	680	5.070	507
5.094	654	5.120	512
5.146	626	5.171	510
5.196	581	5.221	510
5.247	541	5.273	503
5.297	497	5.323	512
5.348	452	5.374	514
5.399	415	5.424	512
5.450	381	5.475	512
5.500	353	5.526	512
5.551	336	5.577	510
5.601	321	5.627	509
5.652	321	5.678	510
5.703	333	5.728	509
5.754	350	5.779	509
5.804	378	5.830	510
5.855	412	5.881	510
5.905	454	5.931	505
5.957	490	5.982	509
6.007	534	6.032	511
6.058	577	6.084	510
6.108	616	6.134	509
6.159	648	6.185	516
6.210	677	6.235	510
6.261	698	6.286	510
6.311	704	6.337	509
6.362	702	6.388	508
6.412	696	6.438	509
6.463	680	6.489	510
6.514	651	6.539	509
6.565	614	6.590	512
6.615	578	6.641	511
6.666	537	6.692	504
6.716	494	6.742	508
6.768	453	6.793	510
6.818	414	6.843	509
6.869	377	6.895	509
6.919	354	6.945	510
6.970	333	6.996	509
7.021	326	7.046	509
7.072	325	7.097	510
7.122	339	7.148	511
7.173	355	7.199	508
7.223	383	7.249	509
7.275	418	7.300	509
7.325	452	7.350	511
7.376	494	7.401	507
7.426	533	7.452	511
7.477	577	7.503	506
7.527	615	7.553	509
7.579	652	7.604	507
7.629	676	7.654	515
7.680	700	7.706	510
7.730	701	7.756	510
7.781	699	7.807	509
7.832	691	7.857	510
7.883	672	7.908	510
7.933	646	7.959	512
7.984	615	8.010	510
8.034	578	8.060	510
8.086	534	8.111	510
8.136	492	8.161	514
8.187	449	8.212	512
8.237	413	8.263	510
8.288	380	8.314	508
8.338	353	8.364	512
8.390	336	8.415	509
8.440	329	8.465	512
8.491	331	8.517	509
8.541	337	8.567	509
8.592	363	8.618	509
8.643	385	8.668	508
8.694	417	8.719	510
8.744	458	8.770	513
8.795	496	8.821	514
8.845	540	8.871	512
8.897	580	8.922	510
8.947	620	8.972	505
8.998	649	9.023	509
9.048	673	9.074	511
9.099	692	9.125	510
9.149	699	9.175	511
9.201	698	9.226	514
9.251	690	9.276	512
9.302	661	9.328	510
9.352	640	9.378	510
9.403	615	9.429	510
9.454	573	9.479	508
9.505	530	9.530	508
9.555	491	9.581	511
9.606	448	9.632	510
9.656	411	9.682	512
9.708	380	9.733	503
9.758	356	9.783	506
9.809	334	9.835	502
9.859	331	9.885	510
9.910	333	9.936	513
9.960	345	9.986	510
10.012	361	10.037	509
10.062	390	10.087	508
10.113	422	10.139	509
10.163	458	10.189	509
10.214	499	10.240	504
10.265	541	10.290	510
10.316	580	10.341	507
10.366	616	10.392	509
10.417	649	10.443	506
10.467	674	10.493	509
10.519	691	10.544	514
10.569	696	10.594	509
10.620	694	10.646	511
10.670	683	10.696	510
10.721	664	10.747	511
10.771	638	10.797	514
10.823	607	10.848	507
10.873	568	10.898	510
10.924	532	10.950	510
10.974	484	11.000	506
11.025	446	11.051	510
11.076	414	11.101	509
11.127	383	11.152	509
11.177	354	11.203	512
11.228	339	11.254	515
11.278	334	11.304	510
11.330	336	11.355	515
11.380	346	11.405	509
11.431	368	11.457	509
11.481	393	11.507	508
11.532	425	11.558	508
11.582	455	11.608	509
11.634	500	11.659	509
11.684	539	11.709	510
11.735	573	11.761	512
11.785	612	11.811	510
11.836	650	11.862	510
11.887	673	11.912	511
11.938	689	11.963	515
11.988	694	12.014	515
12.039	687	12.065	507
12.089	682	12.115	508
12.141	662	12.166	507
12.191	634	12.216	510
12.242	604	12.268	511
12.292	567	12.318	510
12.343	524	12.369	510
12.393	487	12.419	510
12.445	447	12.470	511
12.496	408	12.520	509
12.546	380	12.572	510
12.597	357	12.622	507
12.647	341	12.673	514
12.699	335	12.723	510
12.749	339	12.774	506
