#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.204	561	13.230	396
13.256	560	13.281	402
13.306	567	13.331	413
13.357	560	13.383	421
13.407	559	13.433	444
13.458	559	13.484	467
13.509	561	13.534	495
13.560	560	13.585	525
13.610	557	13.636	547
13.661	556	13.687	570
13.711	561	13.737	589
13.763	558	13.788	607
13.813	557	13.838	617
13.864	556	13.890	624
13.914	560	13.940	627
13.965	558	13.991	618
14.015	560	14.041	611
14.067	560	14.092	597
14.117	557	14.142	574
14.168	558	14.194	554
14.218	564	14.244	529
14.269	559	14.295	501
14.320	559	14.345	470
14.371	560	14.396	452
14.421	562	14.447	432
14.472	559	14.498	417
14.522	557	14.548	408
14.574	555	14.599	399
14.624	558	14.649	397
14.675	559	14.701	403
14.725	559	14.751	414
14.776	560	14.802	429
14.826	559	14.852	443
14.878	559	14.903	476
14.928	560	14.953	497
14.979	554	15.005	522
15.029	561	15.055	547
15.080	560	15.106	571
15.131	555	15.156	591
15.182	563	15.207	607
15.233	560	15.258	615
15.283	562	15.309	623
15.334	562	15.359	629
15.385	561	15.410	618
15.436	559	15.460	604
15.486	561	15.512	592
15.537	561	15.562	576
15.587	559	15.613	557
15.639	559	15.663	529
15.689	559	15.714	500
15.740	557	15.764	473
15.790	557	15.816	452
15.841	562	15.866	431
15.891	564	15.917	420
15.943	565	15.967	405
15.993	561	16.018	400
16.044	561	16.069	402
16.094	560	16.120	413
16.145	560	16.170	418
16.196	559	16.221	431
16.247	561	16.271	452
16.297	559	16.323	475
16.348	555	16.373	499
16.398	560	16.424	528
16.450	563	16.474	550
16.500	558	16.525	571
16.551	560	16.575	590
16.601	568	16.627	605
16.652	562	16.677	618
16.702	561	16.728	621
16.754	560	16.778	622
16.804	559	16.829	616
16.855	560	16.880	604
16.905	560	16.931	591
16.956	559	16.981	569
17.007	555	17.032	545
17.058	559	17.082	523
17.108	560	17.134	497
17.159	560	17.184	473
17.209	559	17.235	451
17.261	559	17.285	433
17.311	555	17.336	417
17.362	560	17.386	413
17.412	557	17.438	403
17.463	558	17.488	404
17.513	560	17.539	408
17.565	561	17.589	421
17.615	562	17.640	433
17.666	561	17.691	451
17.716	557	17.742	482
17.767	559	17.792	503
17.818	559	17.843	527
17.869	559	17.893	551
17.919	557	17.945	572
17.970	556	17.995	592
18.020	565	18.046	605
18.072	557	18.096	612
18.122	560	18.147	622
18.173	560	18.197	620
18.223	556	18.249	616
18.274	559	18.300	600
18.324	560	18.350	587
18.376	559	18.401	569
18.426	560	18.451	548
18.477	559	18.503	514
18.527	559	18.553	490
18.578	562	18.604	471
18.629	557	18.654	450
18.680	557	18.705	433
18.730	558	18.756	418
18.781	551	18.807	416
18.831	562	18.857	405
18.883	559	18.908	406
18.933	562	18.958	411
18.984	559	19.010	424
19.034	559	19.060	437
19.085	559	19.111	462
19.135	558	19.161	478
19.187	559	19.212	504
19.237	559	19.262	530
19.288	561	19.314	552
19.338	560	19.364	573
19.389	566	19.415	591
19.440	566	19.465	605
19.491	559	19.516	614
19.541	559	19.567	618
19.592	559	19.618	617
19.642	557	19.668	613
19.694	560	19.719	598
19.744	561	19.769	581
19.795	559	19.821	563
19.845	560	19.871	539
19.896	557	19.922	518
19.946	561	19.972	485
19.998	560	20.023	470
20.048	560	20.073	450
20.099	559	20.125	433
20.149	563	20.175	418
20.200	564	20.226	410
20.251	561	20.276	406
20.302	561	20.327	407
20.352	560	20.378	416
20.403	562	20.429	426
20.453	558	20.479	442
20.505	559	20.530	458
20.555	559	20.580	484
