#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.204	494	13.230	419
13.255	495	13.280	408
13.306	493	13.331	399
13.356	494	13.382	387
13.407	495	13.433	383
13.457	499	13.483	394
13.509	494	13.534	398
13.559	496	13.584	411
13.610	496	13.636	426
13.660	493	13.686	442
13.711	495	13.737	467
13.761	494	13.787	484
13.813	497	13.838	505
13.863	495	13.888	525
13.914	497	13.940	542
13.964	501	13.990	556
14.015	496	14.041	571
14.066	496	14.091	572
14.117	496	14.142	574
14.167	496	14.193	575
14.218	496	14.244	564
14.268	496	14.294	553
14.320	497	14.345	539
14.370	495	14.395	520
14.421	494	14.447	501
14.471	504	14.497	481
14.522	502	14.548	460
14.572	501	14.598	442
14.624	494	14.649	428
14.675	494	14.699	412
14.725	493	14.751	398
14.776	494	14.801	399
14.826	495	14.852	390
14.878	494	14.902	396
14.928	490	14.953	404
14.979	495	15.004	415
15.029	490	15.055	429
15.080	496	15.105	446
15.131	499	15.156	466
15.182	493	15.206	486
15.232	503	15.258	506
15.283	498	15.308	524
15.333	496	15.359	548
15.385	495	15.409	551
15.435	496	15.460	567
15.486	496	15.510	565
15.536	495	15.562	568
15.587	495	15.612	566
15.637	493	15.663	559
15.689	489	15.713	549
15.739	489	15.764	540
15.790	495	15.815	518
15.840	500	15.866	501
15.891	496	15.916	479
15.942	494	15.967	462
15.993	494	16.017	447
16.043	495	16.069	423
16.094	492	16.119	413
16.144	494	16.170	399
16.196	494	16.220	398
16.246	495	16.271	398
16.297	495	16.321	398
16.347	499	16.373	398
16.398	495	16.423	421
16.448	495	16.474	432
16.500	499	16.524	448
16.550	500	16.575	463
16.601	487	16.626	485
16.651	492	16.677	504
16.702	496	16.727	522
16.753	495	16.778	535
16.804	494	16.828	550
16.854	496	16.880	564
16.905	495	16.930	560
16.955	495	16.981	571
17.007	499	17.031	566
17.057	496	17.082	564
17.108	495	17.132	545
17.158	495	17.184	533
17.209	495	17.234	516
17.259	495	17.285	500
17.311	500	17.335	479
17.361	496	17.386	461
17.412	496	17.437	440
17.462	492	17.488	427
17.513	495	17.538	410
17.564	496	17.589	409
17.615	496	17.640	410
17.665	495	17.691	400
17.716	496	17.742	405
17.766	496	17.792	406
17.818	496	17.843	412
17.868	495	17.893	435
17.919	491	17.945	447
17.969	497	17.995	468
18.020	496	18.046	497
18.070	499	18.096	507
18.122	500	18.147	521
18.172	495	18.197	535
18.223	494	18.249	547
18.273	493	18.299	556
18.324	486	18.350	561
18.375	495	18.400	566
18.426	496	18.451	563
18.476	495	18.502	550
18.527	497	18.553	546
18.577	496	18.603	534
18.629	496	18.654	512
18.679	496	18.704	499
18.730	497	18.756	479
18.780	496	18.806	464
18.831	492	18.857	445
18.881	494	18.907	430
18.933	492	18.958	417
18.983	497	19.008	414
19.034	496	19.060	405
19.084	496	19.110	404
19.135	495	19.161	401
19.186	493	19.211	415
19.237	496	19.262	427
19.287	494	19.313	438
19.338	496	19.364	446
19.388	496	19.414	470
19.440	495	19.465	486
19.490	497	19.515	503
19.541	498	19.567	521
19.591	491	19.617	533
19.642	490	19.668	547
19.692	494	19.718	557
19.744	493	19.769	565
19.794	495	19.819	560
19.845	495	19.871	558
19.895	495	19.921	553
19.946	496	19.972	539
19.997	491	20.022	528
20.048	495	20.073	512
20.098	496	20.124	496
20.149	496	20.175	480
20.199	495	20.225	463
20.251	489	20.276	445
20.301	498	20.326	433
20.352	496	20.378	421
20.402	497	20.428	414
20.453	496	20.479	401
20.503	492	20.529	407
20.555	495	20.580	413
20.605	488	20.630	409
20.656	495	20.682	431
20.706	494	20.732	439
20.757	497	20.783	458
20.808	494	20.833	471
20.859	491	20.884	487
20.910	496	20.935	503
20.960	497	20.986	519
21.011	498	21.036	531
21.062	498	21.087	544
21.113	499	21.137	553
21.163	502	21.189	557
21.214	489	21.239	561
21.264	494	21.290	552
21.316	495	21.340	546
21.366	497	21.391	541
21.417	496	21.441	527
21.467	495	21.493	514
21.518	494	21.543	491
21.568	495	21.594	481
21.620	495	21.644	463
21.670	496	21.695	449
21.721	490	21.746	435
21.771	493	21.797	421
21.822	495	21.847	416
21.873	494	21.898	411
21.924	498	21.948	413
21.974	496	22.000	413
22.025	494	22.050	421
22.075	495	22.101	429
22.127	496	22.151	442
22.177	496	22.202	464
22.228	496	22.252	467
22.278	494	22.304	487
22.329	495	22.354	504
22.379	498	22.405	515
22.431	493	22.455	533
22.481	491	22.506	541
22.532	500	22.557	550
22.582	497	22.608	554
22.633	497	22.658	551
22.684	499	22.709	551
22.735	494	22.759	548
22.785	496	22.811	537
22.836	496	22.861	528
22.886	496	22.912	501
22.938	496	22.962	504
22.988	495	23.013	477
23.039	497	23.063	459
23.089	496	23.115	450
23.140	497	23.165	436
23.190	491	23.216	425
23.242	490	23.266	419
23.292	498	23.317	415
23.343	494	23.368	406
23.393	496	23.419	416
23.444	499	23.469	424
23.495	496	23.520	431
23.546	500	23.570	445
23.596	495	23.622	459
23.647	494	23.672	472
23.697	495	23.723	491
23.749	495	23.773	503
23.799	500	23.824	519
23.850	495	23.874	531
23.900	495	23.926	540
23.951	496	23.977	548
24.001	498	24.027	553
24.053	489	24.078	555
24.103	496	24.128	549
24.154	499	24.180	541
24.204	495	24.230	536
24.255	496	24.281	522
24.306	496	24.331	513
24.357	495	24.382	495
24.407	494	24.433	476
24.458	497	24.484	471
24.508	495	24.534	447
24.560	495	24.585	437
24.610	493	24.635	428
24.661	498	24.687	420
24.711	498	24.737	419
24.762	500	24.788	416
24.812	491	24.838	420
24.864	495	24.889	421
24.914	500	24.939	435
24.965	500	24.991	438
25.015	496	25.041	463
25.066	496	25.092	471
25.117	495	25.142	486
25.168	495	25.193	498
25.218	496	25.244	519
25.269	496	25.295	530
25.319	496	25.345	540
25.371	497	25.396	545
25.421	495	25.446	550
25.472	491	25.498	550
25.522	499	25.548	548
25.573	493	25.599	535
25.623	499	25.649	535
25.675	496	25.700	524
25.725	494	25.750	512
25.776	496	25.802	492
25.826	495	25.852	481
25.877	496	25.903	467
25.928	496	25.953	454
25.979	495	26.004	436
26.029	495	26.055	427
26.080	495	26.106	423
26.130	495	26.156	419
26.182	498	26.207	421
26.232	493	26.257	422
26.283	495	26.309	427
26.333	495	26.359	436
26.384	501	26.410	448
26.434	494	26.460	463
26.486	496	26.511	475
26.536	496	26.561	491
26.587	496	26.613	510
26.637	495	26.663	516
26.688	495	26.714	533
26.739	496	26.764	543
26.790	503	26.815	542
26.840	495	26.866	548
26.891	489	26.917	548
26.941	493	26.967	545
26.993	502	27.018	541
27.043	492	27.068	531
27.094	497	27.120	522
27.144	499	27.170	506
27.195	496	27.221	488
27.246	497	27.271	479
27.297	497	27.322	468
27.347	495	27.372	449
27.398	496	27.424	441
27.448	495	27.474	428
27.499	496	27.525	430
27.550	496	27.575	421
27.601	489	27.626	423
27.651	493	27.677	425
27.702	494	27.728	431
27.752	497	27.778	440
27.804	496	27.829	451
27.854	500	27.879	462
27.905	497	27.931	476
27.955	502	27.981	490
28.006	496	28.032	505
28.057	498	28.082	512
28.108	496	28.133	522
28.158	496	28.183	534
28.209	496	28.235	547
28.259	495	28.285	550
28.310	497	28.336	545
28.361	495	28.386	541
28.412	496	28.437	539
28.463	497	28.488	530
28.513	497	28.539	518
28.564	490	28.589	505
28.615	492	28.640	492
28.666	503	28.690	478
28.716	496	28.742	466
28.767	496	28.792	453
28.817	494	28.843	437
28.869	494	28.893	431
28.919	496	28.944	429
28.970	495	28.994	429
29.020	495	29.046	418
29.071	495	29.096	430
29.121	494	29.147	433
29.173	494	29.197	441
29.223	497	29.248	452
29.274	498	29.299	464
29.324	500	29.350	478
29.375	502	29.400	491
29.426	499	29.451	504
29.477	493	29.501	518
29.527	496	29.553	529
29.578	497	29.603	533
29.628	495	29.654	543
29.680	497	29.704	546
29.730	496	29.755	547
29.781	496	29.806	542
29.831	498	29.857	535
29.882	493	29.907	527
29.932	496	29.958	517
29.984	493	30.008	505
30.034	484	30.059	492
30.085	493	30.110	479
30.135	489	30.161	464
30.186	493	30.211	456
30.237	494	30.262	443
30.288	499	30.312	430
30.338	494	30.364	423
30.389	496	30.414	431
30.439	496	30.465	428
30.491	502	30.515	431
30.541	496	30.566	436
30.592	495	30.617	444
30.642	497	30.668	453
30.693	496	30.718	465
30.743	498	30.769	480
30.795	502	30.819	493
30.845	502	30.870	505
30.896	494	30.921	515
30.946	491	30.972	525
30.997	495	31.022	533
31.048	496	31.073	538
31.099	495	31.123	543
31.149	497	31.175	537
31.200	496	31.225	536
31.250	495	31.276	547
31.302	496	31.326	527
31.352	496	31.377	514
31.403	495	31.428	501
31.453	493	31.479	491
31.504	494	31.530	477
31.554	493	31.580	467
31.606	496	31.631	454
31.656	496	31.681	440
31.707	494	31.733	437
31.757	494	31.783	432
31.808	496	31.834	429
31.859	494	31.884	429
31.910	494	31.935	440
31.960	495	31.986	437
32.011	496	32.037	444
32.061	495	32.087	457
32.113	502	32.138	467
32.163	497	32.188	478
32.214	493	32.240	493
32.264	494	32.290	503
32.315	486	32.341	515
32.366	491	32.391	525
32.417	498	32.442	533
32.467	504	32.492	539
32.518	496	32.544	543
32.568	494	32.594	540
32.619	498	32.645	545
32.670	495	32.695	532
32.721	496	32.746	525
32.771	495	32.797	509
32.822	497	32.848	498
32.872	497	32.898	488
32.924	503	32.949	478
32.974	495	32.999	466
33.025	504	33.051	456
33.075	496	33.101	447
33.126	489	33.152	439
33.177	488	33.202	434
33.228	497	33.253	430
33.278	497	33.303	430
33.329	497	33.355	437
33.379	497	33.405	441
33.430	496	33.456	445
33.481	496	33.506	458
33.532	500	33.557	467
33.582	495	33.608	481
33.633	495	33.659	491
33.683	495	33.709	504
33.735	496	33.760	516
33.785	502	33.810	524
33.836	493	33.862	531
33.886	497	33.912	536
33.937	503	33.963	539
33.988	497	34.013	541
34.039	492	34.064	540
34.089	496	34.114	531
34.140	496	34.166	527
34.190	495	34.216	510
34.241	495	34.267	511
34.292	497	34.317	492
34.343	495	34.368	481
34.393	497	34.419	466
34.444	493	34.470	456
34.494	497	34.520	447
34.546	497	34.571	439
34.596	496	34.621	434
34.647	488	34.673	434
34.697	501	34.723	435
34.748	495	34.774	437
34.799	500	34.824	443
34.850	496	34.875	445
34.900	495	34.926	462
34.951	495	34.977	469
35.001	495	35.027	483
35.052	499	35.078	496
35.103	496	35.128	505
35.154	495	35.179	514
35.205	492	35.230	520
35.255	496	35.281	531
35.306	497	35.331	538
35.357	492	35.382	536
35.408	502	35.432	536
35.458	496	35.484	533
35.509	501	35.534	529
35.559	497	35.585	521
35.611	494	35.635	509
35.661	497	35.686	494
35.712	496	35.737	494
35.762	496	35.788	478
35.813	496	35.838	464
35.863	499	35.889	456
35.915	496	35.939	443
35.965	495	35.990	442
36.016	502	36.041	437
36.066	502	36.092	435
36.117	497	36.142	435
36.168	494	36.193	437
36.219	496	36.243	445
36.269	496	36.295	451
36.320	500	36.345	461
36.370	492	36.396	466
36.422	495	36.446	482
36.472	496	36.497	495
36.523	499	36.548	512
36.573	497	36.599	512
36.624	491	36.649	528
36.674	496	36.700	531
36.726	500	36.750	532
36.776	498	36.801	536
36.827	495	36.852	529
36.877	500	36.903	532
36.928	495	36.953	527
36.979	491	37.004	519
37.030	494	37.054	508
37.080	493	37.106	500
37.131	492	37.156	485
37.181	495	37.207	473
37.233	496	37.257	469
37.283	496	37.308	466
37.334	496	37.359	451
37.384	495	37.410	444
37.435	496	37.460	439
37.486	491	37.511	437
37.537	494	37.561	437
37.587	490	37.612	439
37.638	499	37.663	443
37.688	492	37.714	453
37.739	490	37.764	463
37.790	493	37.815	473
37.841	496	37.865	485
37.891	495	37.917	490
37.942	496	37.967	502
37.992	496	38.018	519
38.044	492	38.068	522
38.094	499	38.119	527
38.145	495	38.170	531
38.195	503	38.221	537
38.246	500	38.272	534
38.297	494	38.322	530
38.348	492	38.373	524
38.398	495	38.423	518
38.449	502	38.475	509
38.499	491	38.525	505
38.550	498	38.576	488
38.601	496	38.626	480
38.652	498	38.677	466
38.702	496	38.728	448
38.753	494	38.779	451
38.803	496	38.829	446
38.855	496	38.880	440
38.905	495	38.930	442
38.956	497	38.982	440
39.006	495	39.032	443
39.057	499	39.083	450
39.108	495	39.133	456
39.159	496	39.184	464
39.209	494	39.234	473
39.260	494	39.286	485
39.310	497	39.336	495
39.361	496	39.387	507
39.412	495	39.437	505
39.463	497	39.488	522
39.513	496	39.539	521
39.564	496	39.590	534
39.614	496	39.640	531
39.666	496	39.691	531
39.716	495	39.741	529
39.767	501	39.793	524
39.817	497	39.843	516
39.868	500	39.894	508
39.919	501	39.944	499
39.970	493	39.995	488
40.020	501	40.046	477
40.071	496	40.097	469
40.121	497	40.147	459
40.172	498	40.198	451
40.223	497	40.248	447
40.274	495	40.299	445
40.324	496	40.350	441
40.375	496	40.401	440
40.425	495	40.451	443
40.477	497	40.502	451
40.527	496	40.552	458
40.578	496	40.604	465
40.628	502	40.654	475
40.679	488	40.705	485
40.730	498	40.755	495
40.781	504	40.806	504
40.831	496	40.857	514
40.882	496	40.908	520
40.932	496	40.958	530
40.983	497	41.009	530
41.034	496	41.059	535
41.085	498	41.110	533
41.135	497	41.161	520
41.186	497	41.212	522
41.236	497	41.262	515
41.288	494	41.313	512
41.338	501	41.363	499
41.389	493	41.415	487
41.439	496	41.465	477
41.490	492	41.516	472
41.541	490	41.566	459
41.592	495	41.617	448
41.642	497	41.668	447
41.693	496	41.719	441
41.743	495	41.769	444
41.794	496	41.820	444
41.845	500	41.870	448
41.896	496	41.921	452
41.946	497	41.972	459
41.997	503	42.023	460
42.047	497	42.073	475
42.099	496	42.124	485
42.149	498	42.174	493
42.200	495	42.226	505
42.250	490	42.276	513
42.301	495	42.327	520
42.352	496	42.377	525
42.403	496	42.428	528
42.453	498	42.479	527
42.504	497	42.530	534
42.554	496	42.580	524
42.606	494	42.631	518
42.656	497	42.681	513
42.707	496	42.732	506
42.757	495	42.783	497
42.808	497	42.834	488
42.858	494	42.884	477
42.910	495	42.935	469
42.960	497	42.985	462
43.011	491	43.037	454
43.061	491	43.087	449
43.112	495	43.138	447
43.163	496	43.188	445
43.214	496	43.239	451
43.264	495	43.290	459
43.315	496	43.341	458
43.365	496	43.391	458
43.417	500	43.442	471
43.467	494	43.492	478
43.518	496	43.543	487
43.568	494	43.594	490
43.619	493	43.645	506
43.669	496	43.695	514
43.721	497	43.746	519
43.771	496	43.796	525
43.822	498	43.848	529
43.872	487	43.898	530
43.923	497	43.949	525
43.974	497	43.999	528
44.025	497	44.050	511
44.075	496	44.101	512
44.126	500	44.152	501
44.176	497	44.202	496
44.228	497	44.253	490
44.278	495	44.303	481
44.329	498	44.354	468
44.379	496	44.405	462
44.430	500	44.456	453
44.480	499	44.506	449
44.532	497	44.557	447
44.582	490	44.607	444
44.633	496	44.659	445
44.683	496	44.709	446
44.734	489	44.760	464
44.785	497	44.810	452
44.836	494	44.861	471
44.886	495	44.912	477
44.937	497	44.963	490
44.987	494	45.013	498
45.039	485	45.064	505
45.089	499	45.114	512
45.140	503	45.166	519
45.190	502	45.216	526
45.241	503	45.267	527
45.291	499	45.317	533
45.343	501	45.368	525
45.393	496	45.418	524
45.444	497	45.470	517
45.494	497	45.520	502
45.545	496	45.571	501
45.596	495	45.621	496
45.647	498	45.672	491
45.697	496	45.723	478
45.748	496	45.774	470
45.798	499	45.824	462
45.850	501	45.875	454
45.900	496	45.925	452
45.951	502	45.977	450
46.001	498	46.027	447
46.052	494	46.078	443
46.102	495	46.128	452
46.154	494	46.179	463
46.204	497	46.229	469
46.255	496	46.281	469
46.305	497	46.331	478
46.356	496	46.382	489
46.407	496	46.432	503
46.458	502	46.483	505
46.508	496	46.534	512
46.559	496	46.585	518
46.609	493	46.635	518
46.661	500	46.686	525
46.711	496	46.736	525
46.762	493	46.788	524
46.812	496	46.838	525
46.863	496	46.889	518
46.913	499	46.939	508
46.965	496	46.990	509
47.015	500	47.040	500
47.066	497	47.092	483
47.116	494	47.142	473
47.167	497	47.193	470
47.218	500	47.243	464
47.269	498	47.294	456
47.319	495	47.345	452
47.370	499	47.396	451
47.420	499	47.446	453
47.472	502	47.497	451
47.522	497	47.547	454
47.573	497	47.599	457
47.623	496	47.649	471
47.674	496	47.700	472
47.724	497	47.750	486
47.776	497	47.801	488
47.827	496	47.851	496
47.877	496	47.903	504
47.928	496	47.953	514
47.978	495	48.004	518
48.030	496	48.054	517
48.080	496	48.105	524
48.131	498	48.156	525
48.181	491	48.207	523
48.232	495	48.257	514
48.283	496	48.308	516
48.334	495	48.358	510
48.384	497	48.410	505
48.435	497	48.460	495
48.485	495	48.511	486
48.537	497	48.561	482
48.587	499	48.612	472
48.638	496	48.662	463
48.688	500	48.714	457
48.739	497	48.764	454
48.789	493	48.815	452
48.841	500	48.865	451
48.891	494	48.916	452
48.942	497	48.967	455
48.992	493	49.018	461
49.043	487	49.068	468
49.094	496	49.119	473
49.145	496	49.169	478
49.195	488	49.221	493
49.246	496	49.271	500
49.296	498	49.322	510
49.348	491	49.372	515
49.398	496	49.423	517
49.449	495	49.473	517
49.499	500	49.525	524
49.550	500	49.575	517
49.600	496	49.626	522
49.652	501	49.676	517
49.702	492	49.727	511
49.753	495	49.778	508
49.803	496	49.829	502
49.854	498	49.879	494
49.905	496	49.930	483
49.956	495	49.980	482
50.006	497	50.032	477
50.057	495	50.082	463
50.107	496	50.133	455
50.159	496	50.183	453
50.209	496	50.234	453
50.260	497	50.284	453
50.310	497	50.336	454
50.361	492	50.386	456
50.411	498	50.437	461
50.463	497	50.487	468
50.513	507	50.538	477
50.564	495	50.589	483
50.614	496	50.640	485
50.665	496	50.690	496
50.716	497	50.741	504
50.767	497	50.792	507
50.817	497	50.843	516
50.868	491	50.894	519
50.918	496	50.944	528
50.970	497	50.995	523
51.020	496	51.045	522
51.071	503	51.097	515
51.121	495	51.147	513
51.172	496	51.198	508
51.222	495	51.248	501
51.274	502	51.299	496
51.324	496	51.349	484
51.375	495	51.401	479
51.425	497	51.451	473
51.476	499	51.502	468
51.527	496	51.552	463
51.578	498	51.603	456
51.628	497	51.654	454
51.679	497	51.705	455
51.729	496	51.755	455
51.781	497	51.806	459
51.831	497	51.856	466
51.882	493	51.908	469
51.932	499	51.958	476
51.983	497	52.009	488
52.033	492	52.059	490
52.085	499	52.110	503
52.135	496	52.160	506
52.186	496	52.212	512
52.236	495	52.262	514
52.287	496	52.313	523
52.338	499	52.363	519
52.389	497	52.414	520
52.439	497	52.465	519
52.490	496	52.516	514
52.540	493	52.566	513
52.592	497	52.617	507
52.642	491	52.667	499
52.693	495	52.719	493
52.743	493	52.769	485
52.794	491	52.820	476
52.844	497	52.870	476
52.896	497	52.921	463
52.946	496	52.971	464
52.997	497	53.023	461
53.047	496	53.073	457
53.098	503	53.124	451
53.149	497	53.174	458
53.200	496	53.225	460
53.250	493	53.276	465
53.301	498	53.327	470
53.351	493	53.377	479
53.403	501	53.428	484
53.453	497	53.478	492
53.504	497	53.530	499
53.554	500	53.580	504
53.605	495	53.631	509
53.655	498	53.681	514
53.707	495	53.732	516
53.757	494	53.782	525
53.808	496	53.834	521
53.858	497	53.884	522
53.909	496	53.935	514
53.960	500	53.985	511
54.011	488	54.036	505
54.062	503	54.087	499
54.112	493	54.138	493
54.163	493	54.188	492
54.214	502	54.239	478
54.265	495	54.289	470
54.315	491	54.341	464
54.366	496	54.391	465
54.416	496	54.442	462
54.468	496	54.492	457
54.518	497	54.543	468
54.569	497	54.593	457
54.619	496	54.645	466
54.670	494	54.695	455
54.720	500	54.746	473
54.772	499	54.796	479
54.822	497	54.847	485
54.873	497	54.898	489
54.923	500	54.949	499
54.974	492	54.999	502
55.025	497	55.050	509
55.076	497	55.100	517
55.126	494	55.152	515
55.177	497	55.202	518
55.227	496	55.253	520
55.279	497	55.303	516
55.329	495	55.354	510
55.380	496	55.404	511
55.430	492	55.456	503
55.481	500	55.506	499
55.531	500	55.557	491
55.583	496	55.607	484
