#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:07:12 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	580	0.051	682
0.076	586	0.101	669
0.126	583	0.152	649
0.178	584	0.202	623
0.228	582	0.253	598
0.279	583	0.304	561
0.329	582	0.355	524
0.380	583	0.405	501
0.431	584	0.456	463
0.482	585	0.506	439
0.532	582	0.558	419
0.583	584	0.608	406
0.633	584	0.659	400
0.685	586	0.709	402
0.735	577	0.760	412
0.786	579	0.811	426
0.836	582	0.862	446
0.887	583	0.912	470
0.937	583	0.963	498
0.989	584	1.013	525
1.039	584	1.064	550
1.090	584	1.115	591
1.140	585	1.166	619
1.191	578	1.216	641
1.242	579	1.267	659
1.293	582	1.317	668
1.343	583	1.369	676
1.394	588	1.419	677
1.444	589	1.470	667
1.496	584	1.520	654
1.546	581	1.571	641
1.597	584	1.622	611
1.647	584	1.673	585
1.698	583	1.723	558
1.749	584	1.774	538
1.800	584	1.824	505
1.850	585	1.875	478
1.901	583	1.926	445
1.951	584	1.977	425
2.002	583	2.027	421
2.053	584	2.078	415
2.104	590	2.128	417
2.154	576	2.180	422
2.205	584	2.230	435
2.255	580	2.281	458
2.307	582	2.331	468
2.357	580	2.382	499
2.408	584	2.433	527
2.458	582	2.484	562
2.509	584	2.535	586
2.560	583	2.585	611
2.611	584	2.636	638
2.661	583	2.686	650
2.712	584	2.738	662
2.762	589	2.788	669
2.813	585	2.839	670
2.864	590	2.889	664
2.915	579	2.940	651
2.965	584	2.991	633
3.016	584	3.042	612
3.066	583	3.092	582
3.118	584	3.143	565
3.168	584	3.193	528
3.219	584	3.245	498
3.269	584	3.295	474
3.320	584	3.346	458
3.371	584	3.396	435
3.422	584	3.447	418
3.472	584	3.497	421
3.523	584	3.549	421
3.573	582	3.599	428
3.624	584	3.650	440
3.675	581	3.700	453
3.726	582	3.751	482
3.776	584	3.802	504
3.827	583	3.853	530
3.877	583	3.903	559
3.929	583	3.954	582
3.979	583	4.004	600
4.030	584	4.056	619
4.080	588	4.106	645
4.131	583	4.157	655
4.182	585	4.207	663
4.233	583	4.258	662
4.283	588	4.309	655
4.334	586	4.360	646
4.384	584	4.410	627
4.435	585	4.461	606
