#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:55:44 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.206	638	13.230	570
13.256	661	13.281	574
13.307	684	13.332	573
13.357	699	13.383	572
13.408	703	13.433	575
13.458	717	13.484	574
13.510	709	13.534	571
13.560	702	13.585	575
13.611	689	13.636	575
13.661	667	13.687	578
13.712	644	13.737	570
13.763	618	13.788	579
13.814	588	13.838	575
13.864	561	13.890	573
13.915	536	13.940	572
13.965	508	13.991	573
14.017	491	14.041	575
14.067	475	14.092	573
14.118	464	14.143	572
14.168	456	14.194	571
14.219	455	14.244	572
14.269	470	14.295	574
14.321	485	14.345	573
14.371	502	14.396	570
14.422	522	14.447	574
14.472	552	14.498	574
14.523	580	14.548	577
14.574	609	14.599	568
14.625	637	14.649	577
14.675	664	14.701	573
14.726	682	14.751	576
14.776	699	14.802	574
14.828	705	14.852	575
14.878	713	14.903	574
14.929	708	14.954	575
14.979	699	15.005	574
15.030	683	15.055	574
15.081	662	15.106	575
15.132	644	15.156	573
15.182	615	15.207	570
15.233	587	15.258	575
15.283	557	15.309	567
15.334	532	15.359	573
15.385	509	15.410	573
15.436	487	15.460	573
15.486	471	15.512	567
15.537	461	15.562	572
15.587	457	15.613	571
15.639	461	15.663	572
15.689	471	15.714	572
15.740	487	15.765	572
15.790	505	15.816	572
15.841	525	15.867	573
15.892	554	15.917	575
15.943	584	15.968	573
15.993	611	16.018	571
16.044	640	16.070	574
16.094	662	16.120	578
16.145	682	16.171	571
16.196	697	16.221	577
16.247	701	16.272	574
16.297	709	16.323	574
16.348	706	16.374	573
16.398	696	16.424	573
16.450	685	16.475	574
16.500	660	16.525	575
16.551	643	16.577	573
16.601	618	16.627	574
16.652	577	16.678	569
16.703	552	16.728	577
16.754	527	16.779	575
16.804	504	16.829	574
16.855	483	16.881	568
16.905	472	16.931	567
16.956	461	16.982	577
17.007	459	17.032	574
17.058	461	17.083	574
17.108	473	17.134	568
17.159	486	17.185	572
17.209	507	17.235	574
17.261	534	17.286	572
17.311	565	17.336	573
17.362	587	17.388	573
17.412	611	17.438	571
17.463	640	17.489	573
17.514	663	17.539	571
17.565	685	17.590	575
17.615	696	17.641	570
17.666	705	17.692	574
