#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:07:12 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.205	568	13.231	572
13.256	596	13.281	574
13.307	626	13.332	575
13.357	655	13.383	579
13.408	677	13.434	573
13.458	697	13.484	574
13.510	709	13.535	573
13.560	715	13.585	572
13.611	717	13.637	574
13.661	709	13.687	573
13.712	699	13.738	573
13.763	682	13.788	575
13.814	659	13.839	573
13.864	627	13.889	573
13.915	602	13.941	575
13.965	571	13.991	567
14.016	545	14.042	574
14.067	519	14.092	569
14.118	495	14.143	570
14.168	475	14.194	571
14.219	462	14.245	568
14.269	456	14.295	571
14.321	455	14.346	572
14.371	461	14.396	572
14.422	474	14.448	571
14.472	493	14.498	571
14.523	518	14.549	572
14.574	543	14.599	575
14.625	567	14.650	573
14.675	595	14.700	573
14.726	620	14.752	572
14.776	647	14.802	575
14.827	677	14.853	576
14.878	696	14.903	573
14.929	709	14.954	567
14.980	714	15.005	569
15.030	719	15.056	573
15.081	708	15.106	571
15.132	696	15.157	571
15.183	677	15.207	574
15.233	655	15.259	570
15.284	629	15.309	571
15.334	600	15.360	572
15.386	574	15.410	572
15.436	543	15.461	572
15.487	516	15.511	572
15.537	495	15.563	572
15.588	479	15.613	570
15.638	463	15.664	570
15.690	458	15.714	571
15.740	458	15.765	573
15.791	465	15.816	578
15.841	475	15.867	567
15.892	492	15.917	573
15.943	518	15.968	574
15.994	541	16.018	572
16.044	574	16.070	573
16.095	598	16.120	576
16.145	627	16.171	573
16.197	656	16.221	573
16.247	678	16.272	574
16.298	698	16.323	574
16.348	707	16.374	579
16.399	714	16.424	576
16.449	712	16.475	576
16.501	705	16.525	566
16.551	693	16.576	576
16.602	675	16.627	574
16.652	648	16.678	574
16.703	626	16.728	571
16.754	597	16.779	572
16.805	567	16.829	571
16.855	543	16.881	572
16.906	521	16.931	572
16.956	494	16.982	571
17.008	472	17.032	568
17.058	463	17.083	572
17.109	460	17.134	573
17.159	460	17.185	576
17.210	464	17.235	581
17.260	480	17.286	575
17.312	504	17.336	570
17.362	523	17.387	579
17.413	547	17.438	577
17.463	578	17.489	568
17.514	608	17.539	572
17.565	631	17.590	573
17.616	652	17.640	574
17.666	671	17.692	572
